# src_name=4U1543-47
# time_[MJD]       half_width_[d]  count_rate    error       fracexp   
#
52443.04397641703  0.23166666667  3.11158e+03  5.71705e-01  0.23781
52446.09536530591  0.00175925926  5.58863e+03  4.28762e+00  1.00000
52450.24721715777  0.00305555556  4.23662e+03  3.94662e+00  0.51515
52451.56203197259  0.00287037037  3.79258e+03  2.76520e+00  1.00000
52453.12814308370  0.44861111111  3.45318e+03  7.43905e-01  0.08050
52454.86518012073  0.27083333334  3.01153e+03  1.12393e+00  0.05094
52456.45823567628  0.34925925926  2.53372e+03  5.93877e-01  0.11904
52458.13703197258  0.31342592592  2.32751e+03  8.02290e-01  0.06677
52459.08258752814  0.00620370370  2.28984e+03  1.47255e+00  0.98507
52460.95027271332  0.46611111111  1.86367e+03  9.53937e-01  0.02543
52464.43703197259  0.00268518518  8.97614e+02  1.87251e+00  0.55172
52466.76777271333  0.43601851852  6.66526e+02  4.92135e-01  0.03653
52468.98434678740  0.34685185185  4.82066e+02  2.41173e-01  0.13828
52470.62518012073  0.39675925926  3.92933e+02  2.63389e-01  0.08261
52472.94953197258  0.33592592592  2.60667e+02  1.90910e-01  0.12321
52474.55647641703  0.38157407408  2.31347e+02  4.51277e-01  0.01723
52477.26434678740  0.04703703703  1.57792e+02  1.83463e-01  0.57677
52478.68943937999  0.00638888889  1.29276e+02  3.42195e-01  1.00000
52480.20749493554  0.46648148148  9.92044e+01  2.20955e-01  0.02521
52481.21480975036  0.18435185185  8.53754e+01  7.12194e-02  0.52838
52482.91499493555  0.00064814815  6.05190e+01  7.35084e-01  1.00000
52483.98518012073  0.05138888889  4.62544e+01  1.96330e-01  0.13514
52485.74203197258  0.00101851852  2.53544e+01  3.79551e-01  1.00000
52487.09953197258  0.30074074074  1.55578e+01  4.01565e-02  0.18565
52487.93499493555  0.11490740741  1.29962e+01  4.45099e-02  0.33038
52489.67879123184  0.47407407407  7.86540e+00  4.88503e-02  0.04023
52491.69832826887  0.48009259259  5.46443e+00  4.45603e-02  0.03317
52493.65184678740  0.45861111111  4.43893e+00  3.58387e-02  0.04361
52495.68795789851  0.47916666666  3.54971e+00  3.16126e-02  0.04290
52497.07795789851  0.01009259259  3.14820e+00  4.24872e-02  1.00000
52499.15749493555  0.48907407407  2.50176e+00  2.87629e-02  0.03578
52500.31499493554  0.01194444445  2.07755e+00  3.17264e-02  1.00000
52502.09082826888  0.14222222222  1.83641e+00  2.44498e-02  0.12500
52504.16666160221  0.11416666667  1.42936e+00  1.91896e-02  0.19708
52505.64675419481  0.46962962963  1.43591e+00  2.01838e-02  0.04357
52507.69323567628  0.47092592593  9.78034e-01  1.58430e-02  0.04837
52509.87925419481  0.40157407407  1.06135e+00  1.70242e-02  0.05303
52511.18805049110  0.01074074074  9.02597e-01  2.21155e-02  1.00000
52512.70656900962  0.46870370370  1.06735e+00  1.70654e-02  0.04544
52514.01471715777  0.00851851852  1.26650e+00  2.93346e-02  1.00000
52515.79647641703  0.27416666667  1.10207e+00  1.73875e-02  0.07734
52520.01369863925  0.00990740741  8.62621e-01  2.26051e-02  1.00000
52522.97860604666  0.00925925926  7.40848e-01  2.23969e-02  0.99000
52525.02490234295  0.01018518518  9.39368e-01  2.32619e-02  1.00000
52526.93193938000  0.00870370370  8.67560e-01  2.43011e-02  1.00000
52529.72712456518  0.00148148148  8.38163e-01  5.76770e-02  1.00000
52532.42656900962  0.00444444444  7.19240e-01  3.16770e-02  1.00000
52535.38443938000  0.00861111111  1.00913e+00  2.61698e-02  1.00000
52536.64508752814  0.00407407407  6.05056e-01  3.17304e-02  1.00000
52538.48416160222  0.00611111111  9.01413e-01  2.93186e-02  1.00000
52541.70518012073  0.00657407407  7.22156e-01  2.61079e-02  1.00000
52543.89499493554  0.00935185185  7.70642e-01  2.21053e-02  1.00000
52545.05295789851  0.00675925926  4.67692e-01  2.15439e-02  1.00000
52550.98971715776  0.07148148148  1.11798e+00  1.70593e-02  0.31218
52554.81860604665  0.00703703703  1.01631e+00  2.89099e-02  1.00000
52557.85240234295  0.21046296296  8.36270e-01  1.51523e-02  0.10339
52564.89758752813  0.00916666667  8.50672e-01  2.34183e-02  1.00000
