# src_name=SWIFT_J1539.2-6227
# time_[MJD]       half_width_[d]  count_rate    error       fracexp   
#
54796.89379123184  0.01166666667  1.09326e+02  2.32871e-01  1.00000
54799.97314308368  0.01268518519  1.23204e+02  2.37079e-01  1.00000
54801.87943937998  0.38657407408  1.25934e+02  2.32985e-01  0.03473
54803.79092086146  0.50009259259  1.31365e+02  1.65157e-01  0.05573
54804.30045789850  0.00944444445  1.40533e+02  2.94896e-01  0.99020
54806.58462456516  0.40620370370  1.41807e+02  1.57785e-01  0.08115
54808.21425419480  0.01916666667  1.37484e+02  2.10458e-01  0.93720
54813.41258752813  0.44435185185  1.15511e+02  1.31736e-01  0.08668
54814.75555049109  0.01694444444  1.66746e+02  2.39294e-01  0.99454
54816.32240234294  0.47731481482  1.67329e+02  1.24657e-01  0.13055
54818.19518012072  0.50009259259  1.44609e+02  1.51265e-01  0.07313
54818.69573567627  0.00046296296  1.30438e+02  1.27690e+00  1.00000
54819.78795789850  0.02009259259  9.33649e+01  1.63984e-01  1.00000
54821.45925419479  0.50009259259  7.66733e+01  1.38727e-01  0.04610
54822.45351345405  0.49416666667  7.19672e+01  1.53458e-01  0.03579
54824.10397641701  0.47944444445  6.26169e+01  9.66449e-02  0.08092
54826.03314308368  0.25231481481  1.07266e+02  1.45426e-01  0.11633
54827.36434678739  0.49425925926  1.00323e+02  1.85104e-01  0.03428
54828.61295789850  0.49972222222  1.06171e+02  1.66279e-01  0.04447
54830.35971715776  0.44129629630  9.18642e+01  1.23408e-01  0.07910
54831.87703197257  0.17694444444  8.71257e+01  1.78973e-01  0.08896
54833.01582826886  0.08814814815  7.90166e+01  1.10975e-01  0.42122
54833.99564308368  0.01870370371  7.65975e+01  1.53947e-01  1.00000
54835.04490234293  0.01925925926  4.77102e+01  1.19733e-01  1.00000
54836.89388382441  0.25194444444  3.40944e+01  8.90032e-02  0.09886
54838.71906900960  0.40583333333  2.54881e+01  6.49177e-02  0.08624
54840.15230975034  0.01962962963  2.12391e+01  7.91299e-02  1.00000
54841.19629123182  0.02120370371  1.92725e+01  7.25256e-02  1.00000
54842.30795789849  0.02083333333  1.68676e+01  6.86030e-02  0.99556
54843.77906900960  0.44527777778  1.59311e+01  4.76789e-02  0.09108
54845.11971715775  0.02000000000  1.25682e+01  6.03046e-02  1.00000
54846.16582826886  0.01981481482  1.11886e+01  5.71637e-02  1.00000
54847.71990234293  0.29611111111  1.17723e+01  1.05584e-01  0.02064
54849.11601345404  0.00481481481  1.40932e+01  1.31419e-01  0.98077
54851.80684678737  0.39361111111  9.26560e+00  5.87114e-02  0.03952
54852.90045789849  0.01925925926  8.99084e+00  5.19767e-02  1.00000
54854.89471715775  0.37870370370  1.06387e+01  7.70503e-02  0.02738
54858.02138382441  0.49759259259  1.03725e+01  6.40552e-02  0.02940
54861.73860604664  0.00814814815  1.48317e+01  1.02635e-01  1.00000
54864.22777271330  0.00379629630  1.40519e+01  1.46358e-01  1.00000
54867.62971715775  0.00222222223  1.90747e+01  2.22876e-01  1.00000
54869.97684678738  0.00953703704  1.12783e+01  8.27262e-02  1.00000
54872.52666160219  0.01027777778  4.87429e+00  5.23883e-02  1.00000
54875.89860604663  0.03611111111  5.72008e+00  4.75677e-02  0.40513
54878.58406900959  0.01250000000  1.42202e+01  8.11382e-02  1.00000
54881.68675419479  0.13074074074  1.43794e+01  9.93777e-02  0.06445
54883.27703197256  0.00490740740  1.73589e+01  1.43075e-01  1.00000
54886.38768012071  0.00537037037  1.72924e+01  1.36507e-01  1.00000
54890.41360604663  0.00129629629  1.79846e+01  2.83352e-01  1.00000
54894.16860604663  0.06888888889  2.00551e+01  1.27587e-01  0.10349
54896.20203197256  0.00972222222  2.16475e+01  1.13514e-01  1.00000
54897.77842086145  0.01666666667  2.21701e+01  8.77379e-02  1.00000
54900.51703197256  0.00898148148  2.19135e+01  1.18826e-01  1.00000
54903.07101345404  0.39611111111  1.65164e+01  7.16638e-02  0.04698
54904.20555049108  0.00268518518  1.72412e+01  1.92763e-01  1.00000
54905.55814308368  0.00805555556  1.48245e+01  1.03198e-01  1.00000
54907.12166160219  0.33509259259  1.40414e+01  7.04139e-02  0.04891
54908.49860604663  0.00814814815  1.51716e+01  1.03804e-01  1.00000
54910.34277271330  0.40361111111  5.10436e+00  3.87920e-02  0.04864
54911.50471715775  0.01203703704  4.24523e+00  4.51972e-02  1.00000
54912.97314308367  0.43435185185  3.73682e+00  3.30358e-02  0.04562
54914.37879123182  0.00925925926  3.19328e+00  4.48994e-02  0.99000
54915.70805049108  0.00777777778  3.12773e+00  4.82409e-02  1.00000
54917.23527271330  0.22240740741  3.44881e+00  3.90989e-02  0.05870
54918.56545789848  0.00685185185  3.54748e+00  5.47374e-02  1.00000
54920.17175419479  0.35611111111  3.20071e+00  3.34300e-02  0.04654
54921.99971715774  0.42537037037  3.04867e+00  3.18358e-02  0.04092
54923.89008752812  0.36870370370  2.36661e+00  2.67508e-02  0.05198
54925.81536530590  0.39861111111  2.37796e+00  2.86465e-02  0.04228
54927.34656900960  0.03537037037  2.27422e+00  5.13049e-02  0.14136
54928.95453197256  0.46777777778  1.96515e+00  2.67733e-02  0.03424
54930.84027271331  0.42092592593  1.68563e+00  2.17555e-02  0.04949
54932.56999493553  0.43416666667  1.49017e+00  2.32047e-02  0.03711
54934.34980975034  0.00694444445  1.31088e+00  3.43108e-02  1.00000
54936.31536530590  0.40583333333  1.90207e+00  3.22009e-02  0.02624
54937.28453197256  0.01037037037  1.79268e+00  3.18947e-02  1.00000
54939.70480975034  0.40287037037  1.91158e+00  2.92508e-02  0.03218
54941.40582826886  0.00944444444  2.15574e+00  3.64079e-02  1.00000
54942.93980975034  0.23509259259  2.19743e+00  2.74194e-02  0.07208
54944.14916160220  0.00555555556  2.48614e+00  5.08894e-02  1.00000
54945.98832826885  0.46416666667  2.87199e+00  2.98836e-02  0.04010
54947.02897641701  0.00777777778  4.06881e+00  5.50217e-02  1.00000
54948.33545789849  0.00666666667  4.31864e+00  6.12276e-02  1.00000
54949.38397641700  0.00888888889  4.49089e+00  5.40718e-02  1.00000
54951.11758752812  0.50009259259  5.01280e+00  5.33684e-02  0.02037
54951.62508752812  0.00740740741  5.25702e+00  6.40862e-02  1.00000
54952.92527271330  0.14981481481  6.03790e+00  5.30677e-02  0.08282
54955.07471715775  0.33759259259  5.78705e+00  4.35163e-02  0.05239
54957.57675419479  0.00944444444  5.23174e+00  5.66191e-02  1.00000
54959.02147641701  0.00305555555  4.89187e+00  9.62543e-02  1.00000
54961.15036530589  0.39824074074  3.79926e+00  3.77078e-02  0.03883
54962.81962456515  0.43342592592  2.83075e+00  3.17960e-02  0.03739
54964.44388382441  0.00731481481  1.82597e+00  3.80079e-02  1.00000
54965.96740234293  0.22620370370  1.29405e+00  2.13784e-02  0.07368
54967.85166160219  0.49694444444  8.64075e-01  2.05166e-02  0.02758
54969.78295789849  0.40101851852  8.41078e-01  1.76406e-02  0.04572
54970.98758752811  0.00231481481  8.50367e-01  4.75518e-02  1.00000
54972.42110604663  0.00750000000  8.87794e-01  2.86748e-02  1.00000
55038.91971715775  0.01777777778  1.19597e+00  2.62369e-02  0.62500
55434.98508752812  0.01537037037  8.52328e-01  1.92290e-02  1.00000
