# src_name=SWIFT_J1539.2-6227
# time_[MJD]       half_width_[d]  count_rate    error       fracexp   
#
54796.89379123184  0.01166666667  5.93735e+01  1.71613e-01  1.00000
54799.97314308368  0.01268518519  7.62787e+01  1.86544e-01  1.00000
54801.87943937998  0.38657407408  1.12209e+02  2.19922e-01  0.03473
54803.79092086146  0.50009259259  1.50006e+02  1.76486e-01  0.05573
54804.30045789850  0.00944444445  1.68546e+02  3.22952e-01  0.99020
54806.58462456516  0.40620370370  1.89845e+02  1.82564e-01  0.08115
54808.21425419480  0.01916666667  1.78271e+02  2.39651e-01  0.93720
54813.41258752813  0.44435185185  1.42622e+02  1.46381e-01  0.08668
54814.75555049109  0.01694444444  2.68077e+02  3.03413e-01  0.99454
54816.32240234294  0.47731481482  2.58823e+02  1.55037e-01  0.13055
54818.19518012072  0.50009259259  2.39341e+02  1.94603e-01  0.07313
54818.69573567627  0.00046296296  2.29069e+02  1.69215e+00  1.00000
54819.78795789850  0.02009259259  1.88253e+02  2.32853e-01  1.00000
54821.45925419479  0.50009259259  1.66943e+02  2.04703e-01  0.04610
54822.45351345405  0.49416666667  1.55824e+02  2.25809e-01  0.03579
54824.10397641701  0.47944444445  1.53654e+02  1.51393e-01  0.08092
54826.03314308368  0.25231481481  1.78480e+02  1.87588e-01  0.11633
54827.36434678739  0.49425925926  1.53497e+02  2.28962e-01  0.03428
54828.61295789850  0.49972222222  1.58810e+02  2.03364e-01  0.04447
54830.35971715776  0.44129629630  1.30990e+02  1.47363e-01  0.07910
54831.87703197257  0.17694444444  1.39635e+02  2.26575e-01  0.08896
54833.01582826886  0.08814814815  1.30822e+02  1.42794e-01  0.42122
54833.99564308368  0.01870370371  1.25581e+02  1.97118e-01  1.00000
54835.04490234293  0.01925925926  9.34685e+01  1.67587e-01  1.00000
54836.89388382441  0.25194444444  9.12915e+01  1.45639e-01  0.09886
54838.71906900960  0.40583333333  7.98022e+01  1.14869e-01  0.08624
54840.15230975034  0.01962962963  7.34370e+01  1.47140e-01  1.00000
54841.19629123182  0.02120370371  6.93697e+01  1.37596e-01  1.00000
54842.30795789849  0.02083333333  6.55557e+01  1.35245e-01  0.99556
54843.77906900960  0.44527777778  6.28473e+01  9.46992e-02  0.09108
54845.11971715775  0.02000000000  5.75732e+01  1.29069e-01  1.00000
54846.16582826886  0.01981481482  5.47846e+01  1.26492e-01  1.00000
54847.71990234293  0.29611111111  5.19032e+01  2.21700e-01  0.02064
54849.11601345404  0.00481481481  5.13251e+01  2.50795e-01  0.98077
54851.80684678737  0.39361111111  4.36022e+01  1.27362e-01  0.03952
54852.90045789849  0.01925925926  4.23206e+01  1.12768e-01  1.00000
54854.89471715775  0.37870370370  4.14564e+01  1.52099e-01  0.02738
54858.02138382441  0.49759259259  3.70502e+01  1.21062e-01  0.02940
54861.73860604664  0.00814814815  3.81551e+01  1.64617e-01  1.00000
54864.22777271330  0.00379629630  3.43149e+01  2.28712e-01  1.00000
54867.62971715775  0.00222222223  3.34343e+01  2.95074e-01  1.00000
54869.97684678738  0.00953703704  2.74877e+01  1.29149e-01  1.00000
54872.52666160219  0.01027777778  1.95235e+01  1.04847e-01  1.00000
54875.89860604663  0.03611111111  1.84930e+01  8.55292e-02  0.40513
54878.58406900959  0.01250000000  2.32247e+01  1.03693e-01  1.00000
54881.68675419479  0.13074074074  2.15935e+01  1.21781e-01  0.06445
54883.27703197256  0.00490740740  2.06430e+01  1.56023e-01  1.00000
54886.38768012071  0.00537037037  1.81419e+01  1.39819e-01  1.00000
54890.41360604663  0.00129629629  1.84144e+01  2.86718e-01  1.00000
54894.16860604663  0.06888888889  1.84612e+01  1.22412e-01  0.10349
54896.20203197256  0.00972222222  2.20273e+01  1.14506e-01  1.00000
54897.77842086145  0.01666666667  2.26788e+01  8.87388e-02  1.00000
54900.51703197256  0.00898148148  2.34414e+01  1.22898e-01  1.00000
54903.07101345404  0.39611111111  2.43047e+01  8.69334e-02  0.04698
54904.20555049108  0.00268518518  2.38230e+01  2.26589e-01  1.00000
54905.55814308368  0.00805555556  2.26022e+01  1.27425e-01  1.00000
