# src_name=GX_339-4
# time_[MJD]       half_width_[d]  count_rate    error       fracexp   
#
50290.80406900964  0.03972222222  2.19963e+01  6.50389e-02  0.75758
50373.15258752815  0.06064814815  4.86349e+00  2.92206e-02  0.54351
50385.98638382445  0.04481481481  8.18545e+00  3.79085e-02  0.73554
50482.85147641704  0.18657407407  2.24681e+01  4.45670e-02  0.35087
50487.71934678742  0.12055555555  2.09701e+01  3.94300e-02  0.64747
50489.75268012074  0.08703703704  1.98156e+01  4.31876e-02  0.70638
50493.45490234297  0.43537037037  1.94438e+01  2.96750e-02  0.29349
50496.87740234297  0.10750000000  1.89818e+01  4.42094e-02  0.52283
50543.37277271334  0.01268518519  1.91083e+01  9.37091e-02  0.99270
50548.50721715778  0.01231481482  2.25612e+01  1.02966e-01  1.00000
50549.57684678741  0.01064814815  2.26738e+01  1.11008e-01  1.00000
50551.85934678742  0.00870370370  2.36962e+01  1.94871e-01  0.41489
50553.87416160223  0.01203703704  2.33115e+01  1.05865e-01  1.00000
50555.99786530593  0.00833333333  2.42839e+01  1.36048e-01  0.91111
50557.94277271334  0.01212962963  2.33786e+01  1.05612e-01  1.00000
50560.92499493556  0.01175925926  2.21093e+01  1.04310e-01  1.00000
50597.47693938001  0.08555555556  1.29676e+01  3.62432e-02  0.66775
50636.43073567630  0.08601851852  5.49630e+00  2.33881e-02  0.67600
50683.39518012074  0.21250000000  1.57604e+01  3.72472e-02  0.30937
50711.06943938000  0.14620370371  2.00658e+01  4.37236e-02  0.41545
50743.17906900963  0.05287037037  1.86608e+01  5.25713e-02  0.73905
50746.18666160222  0.04583333333  1.58393e+01  5.37232e-02  0.69293
50749.65851345408  0.24138888889  1.30954e+01  4.25529e-02  0.17338
50752.86073567630  0.04027777778  1.15318e+01  4.92618e-02  0.68276
50755.91453197259  0.05500000000  1.12946e+01  3.90467e-02  0.77946
50828.54814308370  0.38287037037  2.11441e+00  1.82448e-02  0.09601
50829.55138382445  0.38018518519  2.08778e+00  1.89596e-02  0.08841
50830.76480975037  0.37398148148  2.47721e+00  2.05675e-02  0.09062
50865.64101345408  0.00907407407  1.54632e+00  3.14034e-02  1.00000
50874.35545789852  0.04388888889  3.60378e-01  8.74873e-03  0.75316
51191.11443937999  0.12046296296  3.30281e+00  1.60333e-02  0.61722
51201.10786530592  0.11925925926  2.87860e+00  1.46699e-02  0.64907
51221.99138382444  0.08611111111  9.55822e+00  3.74916e-02  0.45699
51240.95869863925  0.05379629630  1.04197e+01  3.99519e-02  0.70224
51270.63230975036  0.08611111111  1.09093e+01  3.44954e-02  0.61613
51290.58462456518  0.12324074074  5.19176e+00  1.99047e-02  0.61533
51295.27832826888  0.07972222222  4.62311e+00  2.21112e-02  0.68641
51303.01721715777  0.08694444444  3.15856e+00  1.77298e-02  0.66880
51312.67332826888  0.08601851852  1.70244e+00  1.31964e-02  0.65770
51323.55416160221  0.04574074074  6.31601e-01  1.11162e-02  0.69636
51332.28490234296  0.05333333333  3.73936e-01  8.31045e-03  0.72569
51341.04999493554  0.48250000000  2.58020e-01  8.06351e-03  0.07311
51343.04869863925  0.48305555555  2.00314e-01  6.09451e-03  0.11463
51351.89860604666  0.34185185185  1.56885e-01  4.36196e-03  0.30661
51353.59184678740  0.50009259259  1.13471e-01  8.55779e-03  0.05647
51354.20082826888  0.10888888889  1.23437e-01  7.78874e-03  0.28741
51366.66036530591  0.11935185185  8.21734e-02  5.14991e-03  0.60047
51370.35555049111  0.08601851852  2.98049e-02  6.19448e-03  0.55544
51375.48230975036  0.01944444444  3.76819e-02  1.00049e-02  0.99048
51388.43230975036  0.12111111111  6.90876e-02  5.45412e-03  0.52141
51396.13305049110  0.07666666667  6.59818e-02  6.36896e-03  0.58575
51407.35582826888  0.12018518518  9.71423e-02  5.21536e-03  0.56857
51418.23897641703  0.08425925926  8.80851e-02  6.39268e-03  0.54176
51425.24443937999  0.10009259259  1.13241e-01  6.16743e-03  0.51896
51441.43675419480  0.25074074074  3.44325e-01  5.96374e-03  0.29173
51966.00249493554  0.38185185185  5.77748e-02  5.67321e-03  0.14500
51974.12656900962  0.07000000000  5.42040e-02  2.00852e-02  0.06217
51979.69823567629  0.01185185185  4.59240e-02  1.23604e-02  1.00000
51985.93212456518  0.00537037037  2.20957e-02  1.90886e-02  1.00000
51997.15314308369  0.00305555555  8.64483e-02  2.09423e-02  1.00000
52003.35629123184  0.00657407407  1.64693e-01  1.72729e-02  1.00000
52008.61869863925  0.00472222222  3.15348e-02  1.92634e-02  1.00000
52016.57258752814  0.00435185185  9.19708e-03  2.16676e-02  1.00000
52023.66749493555  0.00611111111  8.00659e-03  1.67038e-02  1.00000
52030.80203197258  0.00083333333  -5.08540e-02  4.57664e-02  1.00000
52038.78508752814  0.00481481482  1.05730e-01  1.97868e-02  1.00000
52043.26147641703  0.00564814815  3.30873e-02  1.64870e-02  1.00000
52058.13379123184  0.00018518518  1.88761e-01  7.68036e-02  1.00000
52066.44527271332  0.00407407407  -6.36845e-03  2.28907e-02  1.00000
52073.95971715777  0.00074074074  1.96400e-01  5.88024e-02  1.00000
52078.25740234296  0.00379629630  -2.39560e-03  2.40096e-02  1.00000
52096.00564308369  0.00333333333  9.24356e-02  2.46876e-02  1.00000
52102.24110604665  0.00638888889  2.55428e-02  1.69526e-02  1.00000
52114.91277271332  0.00194444445  -5.66328e-02  3.50712e-02  1.00000
52122.26610604666  0.00194444444  -1.03640e-01  3.09573e-02  1.00000
52128.56768012073  0.00092592592  -5.28428e-02  3.81462e-02  1.00000
52136.98203197258  0.00342592593  4.21097e-02  2.33402e-02  1.00000
52141.88008752814  0.00518518519  1.05520e-01  1.91849e-02  1.00000
52150.99045789851  0.00648148148  3.49193e-02  1.69491e-02  1.00000
52155.78749493555  0.00222222223  -7.89392e-02  3.12428e-02  1.00000
52165.50879123184  0.00314814815  7.66845e-02  2.35837e-02  1.00000
52177.14360604665  0.00222222222  2.04406e-02  2.51815e-02  1.00000
52183.98842086147  0.00462962963  5.13515e-02  1.85954e-02  1.00000
52192.78082826888  0.00648148148  5.29161e-02  1.66855e-02  1.00000
52207.94499493555  0.00490740741  8.37594e-02  1.80718e-02  1.00000
