# src_name=GX_339-4
# time_[MJD]       half_width_[d]  count_rate    error       fracexp   
#
50290.80406900964  0.03972222222  1.28373e+02  1.57121e-01  0.75758
50373.15258752815  0.06064814815  2.58879e+01  6.74161e-02  0.54351
50385.98638382445  0.04481481481  4.41380e+01  8.80281e-02  0.73554
50482.85147641704  0.18657407407  1.25236e+02  1.05219e-01  0.35087
50487.71934678742  0.12055555555  1.17811e+02  9.34585e-02  0.64747
50489.75268012074  0.08703703704  1.09798e+02  1.01661e-01  0.70638
50493.45490234297  0.43537037037  1.08137e+02  6.99822e-02  0.29349
50496.87740234297  0.10750000000  1.05274e+02  1.04113e-01  0.52283
50543.37277271334  0.01268518519  1.06245e+02  2.20966e-01  0.99270
50548.50721715778  0.01231481482  1.27733e+02  2.45000e-01  1.00000
50549.57684678741  0.01064814815  1.26929e+02  2.62646e-01  1.00000
50551.85934678742  0.00870370370  1.33985e+02  4.63379e-01  0.41489
50553.87416160223  0.01203703704  1.34892e+02  2.54660e-01  1.00000
50555.99786530593  0.00833333333  1.38527e+02  3.24938e-01  0.91111
50557.94277271334  0.01212962963  1.36503e+02  2.55197e-01  1.00000
50560.92499493556  0.01175925926  1.29150e+02  2.52107e-01  1.00000
50597.47693938001  0.08555555556  6.97464e+01  8.40540e-02  0.66775
50636.43073567630  0.08601851852  2.83853e+01  5.31504e-02  0.67600
50683.39518012074  0.21250000000  8.43923e+01  8.61911e-02  0.30937
50711.06943938000  0.14620370371  1.10615e+02  1.02659e-01  0.41545
50743.17906900963  0.05287037037  1.03817e+02  1.23999e-01  0.73905
50746.18666160222  0.04583333333  8.49799e+01  1.24437e-01  0.69293
50749.65851345408  0.24138888889  6.88833e+01  9.75951e-02  0.17338
50752.86073567630  0.04027777778  5.97938e+01  1.12173e-01  0.68276
50755.91453197259  0.05500000000  5.80485e+01  8.85208e-02  0.77946
50828.54814308370  0.38287037037  2.61121e+02  2.02752e-01  0.09601
50829.55138382445  0.38018518519  2.52143e+02  2.08358e-01  0.08841
50830.76480975037  0.37398148148  2.48934e+02  2.06178e-01  0.09062
50865.64101345408  0.00907407407  4.20887e+02  5.18096e-01  1.00000
50874.35545789852  0.04388888889  4.06731e+02  2.66845e-01  0.75316
51191.11443937999  0.12046296296  8.87862e+01  8.31294e-02  0.61722
51201.10786530592  0.11925925926  7.36580e+01  7.42073e-02  0.64907
51221.99138382444  0.08611111111  5.55727e+01  9.04016e-02  0.45699
51240.95869863925  0.05379629630  5.48893e+01  9.16967e-02  0.70224
51270.63230975036  0.08611111111  5.57546e+01  7.79835e-02  0.61613
51290.58462456518  0.12324074074  2.60454e+01  4.45824e-02  0.61533
51295.27832826888  0.07972222222  2.34086e+01  4.97547e-02  0.68641
51303.01721715777  0.08694444444  1.61117e+01  4.00434e-02  0.66880
51312.67332826888  0.08601851852  8.77065e+00  2.99527e-02  0.65770
51323.55416160221  0.04574074074  3.62684e+00  2.56700e-02  0.69636
51332.28490234296  0.05333333333  2.40565e+00  1.89674e-02  0.72569
51341.04999493554  0.48250000000  1.71219e+00  1.67592e-02  0.07311
51343.04869863925  0.48305555555  1.57189e+00  1.28374e-02  0.11463
51351.89860604666  0.34185185185  1.14941e+00  8.00622e-03  0.30661
51353.59184678740  0.50009259259  1.13511e+00  1.53379e-02  0.05647
51354.20082826888  0.10888888889  1.06480e+00  1.40637e-02  0.28741
51366.66036530591  0.11935185185  7.03608e-01  7.76024e-03  0.60047
51370.35555049111  0.08601851852  5.84834e-01  8.93115e-03  0.55544
51375.48230975036  0.01944444444  5.36880e-01  1.37616e-02  0.99048
51388.43230975036  0.12111111111  5.46040e-01  7.52312e-03  0.52141
51396.13305049110  0.07666666667  6.02700e-01  9.27197e-03  0.58575
51407.35582826888  0.12018518518  7.72990e-01  8.29813e-03  0.56857
51418.23897641703  0.08425925926  6.41313e-01  9.36616e-03  0.54176
51425.24443937999  0.10009259259  8.87842e-01  1.00932e-02  0.51896
51441.43675419480  0.25074074074  2.27917e+00  1.34299e-02  0.29173
51966.00249493554  0.38185185185  4.12035e-01  7.52955e-03  0.14500
51974.12656900962  0.07000000000  4.03595e-01  2.67973e-02  0.06217
51979.69823567629  0.01185185185  4.01167e-01  1.55499e-02  1.00000
51985.93212456518  0.00537037037  4.86642e-01  2.47725e-02  1.00000
51997.15314308369  0.00305555555  3.61984e-01  3.08374e-02  1.00000
52003.35629123184  0.00657407407  4.02227e-01  2.16652e-02  1.00000
52008.61869863925  0.00472222222  3.62588e-01  2.41840e-02  1.00000
52016.57258752814  0.00435185185  3.20270e-01  2.43461e-02  1.00000
52023.66749493555  0.00611111111  3.67685e-01  2.26572e-02  1.00000
52030.80203197258  0.00083333333  2.32931e-01  5.29340e-02  1.00000
52038.78508752814  0.00481481482  3.32103e-01  2.40913e-02  1.00000
52043.26147641703  0.00564814815  5.42628e-01  2.50923e-02  1.00000
52058.13379123184  0.00018518518  2.30430e-01  8.48584e-02  1.00000
52066.44527271332  0.00407407407  3.20856e-01  2.53981e-02  1.00000
52073.95971715777  0.00074074074  4.86531e-01  6.22493e-02  1.00000
52078.25740234296  0.00379629630  4.19860e-01  3.12968e-02  1.00000
52096.00564308369  0.00333333333  1.84235e-01  2.65174e-02  1.00000
52102.24110604665  0.00638888889  3.34949e-01  2.02989e-02  1.00000
52114.91277271332  0.00194444445  4.82463e-01  4.47079e-02  1.00000
52122.26610604666  0.00194444444  2.75446e-01  3.62803e-02  1.00000
52128.56768012073  0.00092592592  2.60102e-01  4.94620e-02  1.00000
52136.98203197258  0.00342592593  3.75541e-01  2.81785e-02  1.00000
52141.88008752814  0.00518518519  4.12802e-01  2.50268e-02  1.00000
52150.99045789851  0.00648148148  4.15641e-01  2.11536e-02  1.00000
52155.78749493555  0.00222222223  5.54564e-01  3.96739e-02  1.00000
52165.50879123184  0.00314814815  5.07366e-01  3.40371e-02  1.00000
52177.14360604665  0.00222222222  4.62826e-01  3.83960e-02  1.00000
52183.98842086147  0.00462962963  5.47316e-01  2.78937e-02  1.00000
52192.78082826888  0.00648148148  4.88547e-01  2.29169e-02  1.00000
52207.94499493555  0.00490740741  2.73432e-01  2.23812e-02  1.00000
52212.96230975036  0.00500000000  3.92979e-01  2.38829e-02  1.00000
52221.69508752813  0.00611111111  5.50932e-01  2.46656e-02  1.00000
52228.46564308369  0.00111111111  3.85022e-01  4.89654e-02  1.00000
52234.88629123184  0.00527777778  4.53765e-01  2.36481e-02  1.00000
52238.34425419480  0.00287037037  3.88221e-01  3.25283e-02  1.00000
52270.86536530592  0.00694444445  4.65305e-01  2.15390e-02  0.98667
52275.82740234295  0.00527777778  3.14409e-01  2.17780e-02  0.98246
52281.84814308370  0.00527777778  4.04361e-01  2.36088e-02  1.00000
52288.59425419480  0.00583333333  5.36300e-01  2.43633e-02  1.00000
52296.91823567629  0.00500000000  3.88227e-01  2.56035e-02  1.00000
52303.25906900962  0.00416666667  3.38398e-01  2.64120e-02  1.00000
52311.39758752814  0.00120370370  4.03733e-03  4.83699e-02  1.00000
52317.66943937999  0.00435185185  4.47693e-01  2.80137e-02  1.00000
52324.41045789851  0.00018518518  5.51431e-01  1.31272e-01  1.00000
52332.20425419480  0.00287037037  1.13251e+00  4.79195e-02  1.00000
52339.12332826888  0.00027777778  9.32981e-01  1.39417e-01  1.00000
52345.05795789851  0.00453703704  1.34538e+00  4.14252e-02  1.00000
52350.07888382443  0.00657407408  1.83887e+00  4.02334e-02  1.00000
52359.64860604666  0.00481481481  6.86534e+00  9.08384e-02  1.00000
52366.60684678740  0.00490740741  1.13924e+02  3.70037e-01  0.98113
52367.81332826888  0.05212962963  1.71218e+02  1.61163e-01  0.73179
52371.55369863925  0.00731481481  3.59268e+02  5.33133e-01  1.00000
52373.24230975036  0.00407407407  4.55488e+02  8.04363e-01  1.00000
52374.42888382444  0.00305555555  4.74003e+02  9.47488e-01  1.00000
52377.10036530592  0.00379629630  5.20696e+02  1.04153e+00  0.73171
52379.14758752814  0.00324074074  5.97692e+02  1.03311e+00  1.00000
52381.62230975036  0.49925925926  6.55004e+02  7.38808e-01  0.01391
52383.10675419480  0.00518518519  6.74253e+02  1.06721e+00  0.66071
52384.57480975036  0.45009259259  6.94362e+02  5.64890e-01  0.02798
