# src_name=XTE_J1543-56
# time_[MJD]       half_width_[d]  count_rate    error       fracexp   
#
55691.58925419478  0.50009259259  4.16815e+01  1.85142e-01  0.01407
55692.58943937997  0.50009259259  5.31038e+01  1.36936e-01  0.03277
55693.09879123182  0.00925925926  5.59736e+01  1.87039e-01  1.00000
55694.50379123182  0.39981481481  7.39425e+01  1.92279e-01  0.02895
55696.17110604663  0.49564814815  1.34381e+02  2.60255e-01  0.02316
55698.03277271330  0.00694444444  1.30197e+02  3.29389e-01  1.00000
55699.63073567627  0.42898148148  9.48380e+01  2.15192e-01  0.02763
55700.25434678738  0.00796296296  9.67245e+01  2.65130e-01  1.00000
55702.34045789849  0.46166666667  9.38393e+01  1.66328e-01  0.04252
55703.98684678737  0.01879629630  8.56011e+01  1.62342e-01  1.00000
55705.18332826886  0.10527777778  1.15309e+02  2.38216e-01  0.11170
55706.32777271330  0.00953703704  1.10640e+02  2.59106e-01  1.00000
55708.02851345404  0.40453703704  7.91639e+01  1.23766e-01  0.07393
55709.53573567626  0.01898148148  7.76222e+01  1.53835e-01  1.00000
55711.16925419479  0.47416666667  8.54999e+01  1.20832e-01  0.07147
55712.46925419478  0.01490740741  7.71003e+01  1.73004e-01  1.00000
55715.08406900959  0.47583333333  6.65925e+01  1.01124e-01  0.07920
55716.64369863923  0.01194444444  6.30469e+01  1.74774e-01  1.00000
55718.26129123182  0.49675925926  6.48551e+01  1.58672e-01  0.03001
55719.39388382441  0.01694444444  6.53183e+01  1.49359e-01  1.00000
55720.99268012070  0.37629629630  6.05675e+01  1.12897e-01  0.07308
55723.30823567626  0.01907407408  5.53730e+01  1.29931e-01  0.99515
55724.92990234293  0.40074074074  6.38055e+01  1.14346e-01  0.07047
55726.43203197256  0.01027777778  6.14416e+01  1.85999e-01  1.00000
55727.89101345404  0.00074074074  6.27214e+01  7.00008e-01  1.00000
55730.04342086145  0.33425925926  6.55308e+01  1.16649e-01  0.08338
55731.02897641700  0.06685185185  6.49975e+01  2.34300e-01  0.10249
55732.19777271331  0.00842592593  6.99266e+01  2.19149e-01  1.00000
55733.89147641700  0.47046296296  7.06406e+01  2.20265e-01  0.01791
55735.24036530589  0.03657407407  7.52437e+01  1.27785e-01  0.72911
55736.81490234293  0.46425925926  8.04531e+01  1.21255e-01  0.06821
55738.67018012071  0.50009259259  7.43815e+01  2.85585e-01  0.01055
55739.18832826886  0.01805555556  7.94170e+01  1.59544e-01  1.00000
55740.75601345404  0.49259259259  7.30004e+01  1.89540e-01  0.02387
55742.88342086145  0.00407407407  6.51881e+01  3.04297e-01  1.00000
55744.78573567627  0.00805555556  5.54036e+01  2.00660e-01  0.98851
55745.90416160219  0.01055555555  5.35313e+01  1.71313e-01  1.00000
55747.66101345404  0.00148148148  5.06033e+01  4.44600e-01  1.00000
55748.67156900960  0.00296296296  4.88334e+01  3.08833e-01  1.00000
55749.90268012071  0.00500000000  4.47284e+01  2.27528e-01  1.00000
55751.64342086145  0.46388888889  4.33616e+01  1.31805e-01  0.03114
55752.88342086145  0.00666666667  4.17058e+01  1.91606e-01  0.98611
55754.19092086145  0.00879629630  4.09196e+01  1.64076e-01  1.00000
55756.14869863923  0.00731481481  4.02714e+01  1.78494e-01  1.00000
55757.86230975034  0.45870370370  3.86366e+01  1.10997e-01  0.03956
55759.15147641700  0.00879629630  3.70707e+01  1.56169e-01  1.00000
55760.94656900960  0.43333333333  3.58360e+01  1.05039e-01  0.04338
55762.29805049108  0.00537037037  3.50473e+01  1.94336e-01  1.00000
55763.88268012070  0.43259259259  3.35054e+01  1.07562e-01  0.03874
55765.75212456515  0.38185185185  3.17117e+01  1.41492e-01  0.02401
55768.36332826885  0.01879629630  3.00631e+01  9.62075e-02  1.00000
55770.12055049108  0.00768518518  2.86352e+01  1.46842e-01  1.00000
55771.22527271330  0.00944444445  2.73871e+01  1.29543e-01  1.00000
55772.27916160219  0.01870370371  2.71774e+01  9.16998e-02  1.00000
55773.66249493552  0.00592592593  2.63030e+01  1.60270e-01  1.00000
55775.28092086145  0.01916666667  2.58272e+01  8.83066e-02  1.00000
55777.49823567626  0.38481481482  2.47651e+01  1.06292e-01  0.03296
55779.08249493552  0.00314814815  2.38005e+01  2.09167e-01  1.00000
55781.82582826886  0.00166666667  2.23275e+01  2.78435e-01  1.00000
55783.96962456515  0.00750000000  2.04393e+01  1.26365e-01  0.98765
55785.73721715774  0.00101851852  1.94120e+01  3.32108e-01  1.00000
55788.98212456515  0.01240740740  1.81333e+01  9.23109e-02  0.99254
55791.98777271330  0.02120370370  1.71556e+01  6.99715e-02  0.95633
55794.24564308368  0.02166666666  1.59458e+01  1.39790e-01  0.21795
55796.36305049108  0.00574074074  1.60921e+01  1.27365e-01  1.00000
55798.06879123182  0.00740740741  1.48531e+01  1.07722e-01  1.00000
55800.41045789848  0.00425925926  1.41124e+01  1.38472e-01  1.00000
55803.31971715775  0.42444444444  1.27203e+01  1.42776e-01  0.00851
55807.14490234293  0.00833333333  1.12262e+01  8.82946e-02  1.00000
55810.78601345404  0.00333333333  1.01307e+01  1.32620e-01  1.00000
55818.11888382441  0.00935185185  7.33899e+00  6.73903e-02  1.00000
55826.67351345404  0.00194444444  5.33450e+00  1.26002e-01  1.00000
