# src_name=XTE_J1550-564
# time_[MJD]       half_width_[d]  count_rate    error       fracexp   
#
51063.92230975037  0.18611111111  1.32446e+02  1.52702e-01  0.17662
51065.57314308370  0.50009259259  2.38030e+02  4.39553e-01  0.01426
51066.22397641704  0.15074074074  2.59922e+02  2.43939e-01  0.16769
51067.28953197259  0.01833333333  2.86723e+02  3.02373e-01  0.98990
51068.82962456519  0.47768518519  2.72477e+02  2.57418e-01  0.04982
51070.21980975037  0.08731481482  2.73228e+02  2.17495e-01  0.38282
51071.60573567630  0.40472222222  2.78691e+02  2.49861e-01  0.06383
51072.36249493556  0.01111111111  2.81372e+02  3.82816e-01  1.00000
51074.14943938000  0.01157407407  3.13365e+02  3.95832e-01  1.00000
51076.91990234297  0.11740740740  3.76518e+02  3.01428e-01  0.20426
51078.15860604667  0.01888888889  2.95152e+02  3.00710e-01  1.00000
51079.96749493555  0.17203703703  2.69288e+02  2.27917e-01  0.17438
51081.56906900963  0.50009259259  2.71080e+02  2.05806e-01  0.07406
51082.56925419482  0.50009259259  2.68879e+02  2.06524e-01  0.07295
51083.07045789852  0.00111111111  2.65694e+02  1.17636e+00  1.00000
51084.82092086149  0.47212962963  2.55425e+02  1.87518e-01  0.08904
51086.41730975037  0.48185185185  2.46547e+02  2.28549e-01  0.05669
51087.36508752815  0.42611111111  2.40004e+02  1.58115e-01  0.13038
51096.11018012074  0.50009259259  1.97998e+02  2.90143e-01  0.02722
51097.09703197259  0.48675925926  1.94283e+02  2.29770e-01  0.04375
51098.05240234296  0.24287037037  1.87829e+02  2.70028e-01  0.06138
51099.44573567630  0.23657407408  1.80925e+02  2.43956e-01  0.07436
51100.29212456518  0.01685185185  1.85112e+02  2.52128e-01  1.00000
51101.78610604667  0.17805555555  1.78246e+02  2.50878e-01  0.09204
51106.95860604667  0.00518518518  1.74059e+02  4.44741e-01  0.98214
51108.16036530593  0.08379629630  1.71532e+02  1.36073e-01  0.63978
51110.02342086149  0.28611111111  1.27177e+02  1.67888e-01  0.09126
51111.60545789852  0.00259259259  1.23698e+02  5.25462e-01  1.00000
51113.24082826888  0.43870370370  1.11389e+02  2.07302e-01  0.03419
51115.29647641704  0.00842592592  6.09065e+01  2.04527e-01  1.00000
51119.01934678741  0.01907407408  1.71333e+01  1.16425e-01  0.38350
51121.01730975037  0.02037037037  5.24012e+00  4.48246e-02  0.74091
51124.73925419481  0.01175925926  8.45487e+00  6.47602e-02  0.99213
51126.63406900963  0.04157407408  1.67492e+01  7.62607e-02  0.40089
51128.58629123186  0.02175925926  1.11171e+01  7.51593e-02  0.52340
51130.49564308370  0.03833333333  1.09163e+01  6.39176e-02  0.40338
51132.50110604666  0.00861111111  9.36799e+00  7.93454e-02  1.00000
51134.47156900963  0.03481481482  5.42173e+00  3.68901e-02  0.66223
51136.88962456518  0.11101851852  5.12275e+00  2.97809e-02  0.30108
51137.94730975037  0.01851851852  1.24545e+01  6.23860e-02  1.00000
51140.36786530593  0.36759259259  1.35942e+01  1.20003e-01  0.01486
51143.81305049111  0.00981481481  1.18083e+01  8.38378e-02  0.99057
51145.51166160223  0.04175925926  4.74265e+00  3.03877e-02  0.71175
51147.37842086148  0.04240740741  9.18817e+00  4.22305e-02  0.70306
51150.08768012074  0.01944444444  6.00154e+00  4.22631e-02  1.00000
51152.52240234296  0.44194444444  2.08270e+00  1.70647e-02  0.09365
51154.02656900963  0.00925925926  1.93132e+00  3.47430e-02  1.00000
51155.08619863926  0.01870370370  1.53995e+00  2.22737e-02  0.96040
51157.58888382444  0.08953703704  1.49413e+00  3.50542e-02  0.07859
51160.28906900963  0.01212962963  2.29760e+00  3.32358e-02  0.99237
51162.21740234297  0.01398148148  2.35589e+00  3.13308e-02  0.99338
51163.21101345407  0.00500000000  2.79529e+00  5.74137e-02  0.98148
51164.21573567630  0.00027777778  3.80973e+00  2.81726e-01  1.00000
51165.81101345408  0.21944444444  5.77698e+00  3.53461e-02  0.12194
51167.72684678741  0.30250000000  8.00469e+00  6.65385e-02  0.03459
51169.05268012075  0.04240740741  1.03463e+01  5.08583e-02  0.54585
51170.52749493556  0.00666666667  1.18198e+01  1.01293e-01  1.00000
51172.54851345408  0.47731481481  1.34463e+01  5.21510e-02  0.05994
51174.37906900963  0.37898148148  1.55037e+01  5.47718e-02  0.07892
51175.83851345407  0.04212962963  1.79007e+01  5.94081e-02  0.69670
51176.86962456518  0.02083333333  1.79108e+01  7.05352e-02  1.00000
51178.86814308370  0.02157407408  1.93734e+01  7.23997e-02  0.99142
51180.40814308370  0.48157407407  4.07173e+01  8.70282e-02  0.06460
51182.36768012073  0.02148148148  1.99166e+01  9.82320e-02  0.55603
51183.84490234296  0.30425925926  1.84830e+01  7.27944e-02  0.06634
51184.82712456517  0.11537037037  2.08641e+01  6.21128e-02  0.27127
51185.92675419481  0.07370370370  2.00471e+01  5.42965e-02  0.53392
51187.13777271332  0.03601851852  2.05366e+01  7.53616e-02  0.58098
51188.47666160221  0.27398148148  2.00934e+01  6.13188e-02  0.11288
51191.86184678740  0.37583333333  2.24458e+01  5.93698e-02  0.09805
51192.60240234295  0.00842592593  2.16152e+01  1.22517e-01  0.98901
51194.51962456518  0.02101851852  2.35829e+01  1.09025e-01  0.54626
51196.29749493554  0.23981481482  2.33337e+01  7.87768e-02  0.09073
51198.07647641703  0.02009259259  2.51629e+01  9.88343e-02  0.74194
51200.43990234296  0.05407407407  6.03181e+01  1.77245e-01  0.20548
51203.75073567629  0.50009259259  2.91470e+01  9.14132e-02  0.04036
51204.28758752814  0.03675925926  2.77423e+01  1.64597e-01  0.16121
51206.33656900963  0.47555555556  2.64842e+01  8.48340e-02  0.04478
51208.53203197259  0.35175925926  3.09978e+01  9.58218e-02  0.05554
51209.72629123184  0.01379629629  2.63292e+01  1.09597e-01  0.91946
51211.72536530592  0.01472222222  2.41916e+01  9.75155e-02  1.00000
51213.27647641703  0.50009259259  2.47902e+01  8.93674e-02  0.03592
51213.79360604666  0.01703703704  2.53916e+01  9.28702e-02  1.00000
51215.46092086147  0.48546296296  4.23401e+01  6.67456e-02  0.11329
51217.28916160221  0.44944444445  2.46791e+01  6.28887e-02  0.08035
51219.10203197258  0.04157407408  2.21423e+01  9.35886e-02  0.35189
51220.75453197258  0.24611111111  2.36815e+01  6.64695e-02  0.12603
51221.58138382444  0.01277777778  2.07147e+01  9.72118e-02  0.99275
51224.25268012073  0.48629629630  1.92049e+01  5.05894e-02  0.08930
51226.33768012073  0.04037037037  1.90192e+01  9.56235e-02  0.29817
51228.29008752813  0.44592592593  1.75461e+01  5.58161e-02  0.07309
51230.92610604666  0.50009259259  1.84716e+01  6.52690e-02  0.05018
51231.84693937999  0.42074074074  2.85993e+01  9.27014e-02  0.04577
51233.36073567629  0.50009259259  7.16045e+01  1.82750e-01  0.02481
51233.86406900962  0.00324074074  6.69153e+01  3.45676e-01  1.00000
51235.25166160221  0.05194444444  7.81856e+01  1.53275e-01  0.37077
51237.64656900962  0.02000000000  2.35927e+01  8.28151e-02  0.99537
51239.58221715777  0.50009259259  4.84763e+01  9.11083e-02  0.06758
51240.08508752814  0.00277777778  5.61236e+01  3.41942e-01  1.00000
51242.16323567629  0.36148148148  1.17040e+02  1.70038e-01  0.06481
51244.94110604666  0.44490740741  2.12532e+02  2.68685e-01  0.03829
51246.43962456517  0.01175925926  1.69007e+02  2.88397e-01  1.00000
51248.04416160221  0.06425925926  2.06968e+02  2.40846e-01  0.32133
51250.71073567629  0.01583333333  1.52260e+02  2.35904e-01  1.00000
51253.68045789850  0.45351851852  1.61978e+02  1.90487e-01  0.05696
51255.16360604666  0.07148148148  6.55124e+01  1.22244e-01  0.35492
51257.73073567628  0.36768518519  4.27009e+01  1.92527e-01  0.01813
51258.50323567628  0.00629629629  4.64442e+01  2.06610e-01  1.00000
51260.56656900962  0.01296296296  2.33452e+01  1.02088e-01  1.00000
51265.20064308369  0.44203703704  1.72739e+01  9.22005e-02  0.02660
51267.26268012073  0.38185185185  1.23466e+01  5.81763e-02  0.05529
51269.69740234295  0.01953703704  1.59270e+01  7.09047e-02  0.93839
51271.08749493555  0.34444444444  2.65055e+01  7.50644e-02  0.07903
51274.02156900962  0.48000000000  1.06959e+01  3.98955e-02  0.08102
51276.31842086147  0.03888888889  5.04040e+00  5.82011e-02  0.22143
51277.41564308369  0.01333333333  6.14416e+00  5.16404e-02  1.00000
51279.13027271333  0.44351851852  5.39060e+00  3.38520e-02  0.06138
51280.55990234295  0.01277777777  4.24704e+00  4.40173e-02  0.99275
51285.63249493555  0.43462962963  3.86865e+00  3.67530e-02  0.03813
51286.79564308369  0.47037037037  4.48708e+00  3.99177e-02  0.03465
51287.96073567629  0.43305555556  3.19417e+00  7.66266e-02  0.00727
51289.15499493555  0.00750000000  6.39068e+00  7.02217e-02  1.00000
51291.18962456517  0.20416666667  5.97431e+00  3.31394e-02  0.15420
