# src_name=XTE_J1550-564
# time_[MJD]       half_width_[d]  count_rate    error       fracexp   
#
51063.92230975037  0.18611111111  6.45249e+02  3.37046e-01  0.17662
51065.57314308370  0.50009259259  1.35563e+03  1.04898e+00  0.01426
51066.22397641704  0.15074074074  1.66057e+03  6.16577e-01  0.16769
51067.28953197259  0.01833333333  2.15763e+03  8.29470e-01  0.98990
51068.82962456519  0.47768518519  2.74508e+03  8.17054e-01  0.04982
51070.21980975037  0.08731481482  2.92585e+03  7.11726e-01  0.38282
51071.60573567630  0.40472222222  3.10529e+03  8.34044e-01  0.06383
51072.36249493556  0.01111111111  3.42664e+03  1.33593e+00  1.00000
51074.14943938000  0.01157407407  4.47706e+03  1.49617e+00  1.00000
51076.91990234297  0.11740740740  5.86502e+03  1.18967e+00  0.20426
51078.15860604667  0.01888888889  4.16977e+03  1.13027e+00  1.00000
51079.96749493555  0.17203703703  3.29823e+03  7.97642e-01  0.17438
51081.56906900963  0.50009259259  2.73381e+03  6.53574e-01  0.07406
51082.56925419482  0.50009259259  2.66204e+03  6.49829e-01  0.07295
51083.07045789852  0.00111111111  2.63651e+03  3.70565e+00  1.00000
51084.82092086149  0.47212962963  2.82228e+03  6.23322e-01  0.08904
51086.41730975037  0.48185185185  2.59184e+03  7.41026e-01  0.05669
51087.36508752815  0.42611111111  2.65516e+03  5.25908e-01  0.13038
51096.11018012074  0.50009259259  2.47283e+03  1.02537e+00  0.02722
51097.09703197259  0.48675925926  2.58315e+03  8.37820e-01  0.04375
51098.05240234296  0.24287037037  2.29616e+03  9.44122e-01  0.06138
51099.44573567630  0.23657407408  2.26069e+03  8.62350e-01  0.07436
51100.29212456518  0.01685185185  2.69094e+03  9.61294e-01  1.00000
51101.78610604667  0.17805555555  2.63628e+03  9.64827e-01  0.09204
51106.95860604667  0.00518518518  3.34897e+03  1.95081e+00  0.98214
51108.16036530593  0.08379629630  3.14880e+03  5.83006e-01  0.63978
51110.02342086149  0.28611111111  2.77390e+03  7.84081e-01  0.09126
51111.60545789852  0.00259259259  2.55245e+03  2.38693e+00  1.00000
51113.24082826888  0.43870370370  2.31642e+03  9.45346e-01  0.03419
51115.29647641704  0.00842592592  1.58435e+03  1.04315e+00  1.00000
51119.01934678741  0.01907407408  9.68127e+02  8.75171e-01  0.38350
51121.01730975037  0.02037037037  7.34393e+02  5.30653e-01  0.74091
51124.73925419481  0.01175925926  5.83503e+02  5.37992e-01  0.99213
51126.63406900963  0.04157407408  6.06127e+02  4.58760e-01  0.40089
51128.58629123186  0.02175925926  4.74114e+02  4.90828e-01  0.52340
51130.49564308370  0.03833333333  4.23104e+02  3.97929e-01  0.40338
51132.50110604666  0.00861111111  3.62288e+02  4.93430e-01  1.00000
51134.47156900963  0.03481481482  2.95741e+02  2.72456e-01  0.66223
51136.88962456518  0.11101851852  2.46062e+02  2.06399e-01  0.30108
51137.94730975037  0.01851851852  3.00393e+02  3.06387e-01  1.00000
51140.36786530593  0.36759259259  2.74961e+02  5.39696e-01  0.01486
51143.81305049111  0.00981481481  2.31001e+02  3.70810e-01  0.99057
51145.51166160223  0.04175925926  1.55859e+02  1.74202e-01  0.71175
51147.37842086148  0.04240740741  1.98812e+02  1.96442e-01  0.70306
51150.08768012074  0.01944444444  1.89520e+02  2.37497e-01  1.00000
51152.52240234296  0.44194444444  2.38116e+02  1.82465e-01  0.09365
51154.02656900963  0.00925925926  3.02832e+02  4.35052e-01  1.00000
51155.08619863926  0.01870370370  3.73218e+02  3.46753e-01  0.96040
51157.58888382444  0.08953703704  6.13986e+02  7.10579e-01  0.07859
51160.28906900963  0.01212962963  9.90419e+02  6.90046e-01  0.99237
51162.21740234297  0.01398148148  1.36129e+03  7.53129e-01  0.99338
51163.21101345407  0.00500000000  1.54540e+03  1.34997e+00  0.98148
51164.21573567630  0.00027777778  1.83320e+03  6.17994e+00  1.00000
51165.81101345408  0.21944444444  2.28248e+03  7.02578e-01  0.12194
51167.72684678741  0.30250000000  2.74153e+03  1.23139e+00  0.03459
51169.05268012075  0.04240740741  3.01488e+03  8.68170e-01  0.54585
51170.52749493556  0.00666666667  3.23503e+03  1.67576e+00  1.00000
51172.54851345408  0.47731481481  3.41605e+03  8.31233e-01  0.05994
51174.37906900963  0.37898148148  3.57002e+03  8.31139e-01  0.07892
51175.83851345407  0.04212962963  3.68441e+03  8.52304e-01  0.69670
51176.86962456518  0.02083333333  3.70277e+03  1.01417e+00  1.00000
51178.86814308370  0.02157407408  3.82839e+03  1.01775e+00  0.99142
51180.40814308370  0.48157407407  4.16463e+03  8.80154e-01  0.06460
51182.36768012073  0.02148148148  3.98638e+03  1.38974e+00  0.55603
51183.84490234296  0.30425925926  3.55934e+03  1.01017e+00  0.06634
51184.82712456517  0.11537037037  4.05443e+03  8.65858e-01  0.27127
51185.92675419481  0.07370370370  4.05711e+03  7.72420e-01  0.53392
51187.13777271332  0.03601851852  4.08003e+03  1.06223e+00  0.58098
51188.47666160221  0.27398148148  4.07926e+03  8.73691e-01  0.11288
51191.86184678740  0.37583333333  4.22537e+03  8.14575e-01  0.09805
51192.60240234295  0.00842592593  4.14401e+03  1.69640e+00  0.98901
51194.51962456518  0.02101851852  4.30508e+03  1.47306e+00  0.54626
51196.29749493554  0.23981481482  4.34595e+03  1.07510e+00  0.09073
51198.07647641703  0.02009259259  4.43296e+03  1.31182e+00  0.74194
51200.43990234296  0.05407407407  4.70512e+03  1.56543e+00  0.20548
51203.75073567629  0.50009259259  4.55582e+03  1.14287e+00  0.04036
51204.28758752814  0.03675925926  4.55393e+03  2.10884e+00  0.16121
51206.33656900963  0.47555555556  4.54333e+03  1.11113e+00  0.04478
51208.53203197259  0.35175925926  4.56545e+03  1.16290e+00  0.05554
51209.72629123184  0.01379629629  4.50167e+03  1.43307e+00  0.91946
51211.72536530592  0.01472222222  4.38252e+03  1.31251e+00  1.00000
51213.27647641703  0.50009259259  4.36948e+03  1.18646e+00  0.03592
51213.79360604666  0.01703703704  4.35460e+03  1.21620e+00  1.00000
51215.46092086147  0.48546296296  4.40948e+03  6.81146e-01  0.11329
51217.28916160221  0.44944444445  4.25607e+03  8.25871e-01  0.08035
51219.10203197258  0.04157407408  4.17365e+03  1.28490e+00  0.35189
51220.75453197258  0.24611111111  4.12134e+03  8.76873e-01  0.12603
51221.58138382444  0.01277777778  4.06485e+03  1.36177e+00  0.99275
51224.25268012073  0.48629629630  3.92602e+03  7.23319e-01  0.08930
51226.33768012073  0.04037037037  3.89779e+03  1.36892e+00  0.29817
51228.29008752813  0.44592592593  3.77606e+03  8.18819e-01  0.07309
51230.92610604666  0.50009259259  3.73652e+03  9.28301e-01  0.05018
51231.84693937999  0.42074074074  3.81332e+03  1.07043e+00  0.04577
51233.36073567629  0.50009259259  4.11550e+03  1.38548e+00  0.02481
51233.86406900962  0.00324074074  4.07816e+03  2.69860e+00  1.00000
51235.25166160221  0.05194444444  4.06902e+03  1.10574e+00  0.37077
51237.64656900962  0.02000000000  3.48995e+03  1.00723e+00  0.99537
51239.58221715777  0.50009259259  3.60332e+03  7.85498e-01  0.06758
51240.08508752814  0.00277777778  3.68349e+03  2.77019e+00  1.00000
51242.16323567629  0.36148148148  3.75836e+03  9.63561e-01  0.06481
51244.94110604666  0.44490740741  4.08935e+03  1.17858e+00  0.03829
51246.43962456517  0.01175925926  4.00358e+03  1.40366e+00  1.00000
51248.04416160221  0.06425925926  3.88416e+03  1.04336e+00  0.32133
51250.71073567629  0.01583333333  2.20305e+03  8.97333e-01  1.00000
51253.68045789850  0.45351851852  2.82744e+03  7.95856e-01  0.05696
51255.16360604666  0.07148148148  2.15091e+03  7.00448e-01  0.35492
51257.73073567628  0.36768518519  1.75656e+03  1.23482e+00  0.01813
51258.50323567628  0.00629629629  1.70701e+03  1.25257e+00  1.00000
51260.56656900962  0.01296296296  1.34664e+03  7.75358e-01  1.00000
51265.20064308369  0.44203703704  8.66398e+02  6.52975e-01  0.02660
51267.26268012073  0.38185185185  7.03598e+02  4.39172e-01  0.05529
51269.69740234295  0.01953703704  6.38130e+02  4.48809e-01  0.93839
51271.08749493555  0.34444444444  6.26254e+02  3.64873e-01  0.07903
51274.02156900962  0.48000000000  4.21077e+02  2.50320e-01  0.08102
51276.31842086147  0.03888888889  2.93336e+02  4.43998e-01  0.22143
51277.41564308369  0.01333333333  2.72738e+02  3.44058e-01  1.00000
51279.13027271333  0.44351851852  2.21953e+02  2.17219e-01  0.06138
51280.55990234295  0.01277777777  1.83977e+02  2.89709e-01  0.99275
51285.63249493555  0.43462962963  1.06822e+02  1.93128e-01  0.03813
51286.79564308369  0.47037037037  1.01036e+02  1.89419e-01  0.03465
51287.96073567629  0.43305555556  7.28996e+01  3.66069e-01  0.00727
51289.15499493555  0.00750000000  1.00433e+02  2.78378e-01  1.00000
51291.18962456517  0.20416666667  8.22601e+01  1.22969e-01  0.15420
51292.95795789851  0.50009259259  4.17482e+01  1.09909e-01  0.03999
51293.47638382443  0.01833333333  5.11371e+01  1.27372e-01  0.99495
51295.54379123184  0.01851851852  2.77628e+01  9.31444e-02  1.00000
51297.76055049110  0.36935185185  1.65345e+01  5.61304e-02  0.08223
51299.44055049110  0.09620370371  1.13461e+01  5.91037e-02  0.19538
51300.47453197258  0.01314814815  1.01447e+01  6.68215e-02  1.00000
51302.93795789851  0.47694444445  7.80457e+00  4.38226e-02  0.04931
51305.16601345406  0.03925925926  9.67478e+00  6.74271e-02  0.31368
51307.36832826888  0.04435185185  2.15242e+01  7.98477e-02  0.44050
51309.74184678739  0.02009259259  1.23406e+01  5.98948e-02  0.99078
51311.52962456517  0.00990740741  6.78931e+00  6.29739e-02  1.00000
51313.32749493554  0.00981481481  5.25640e+00  5.59358e-02  0.99057
51318.79805049110  0.01907407407  3.12938e+00  3.64763e-02  0.71359
51644.50962456518  0.03490740741  2.82028e+02  2.75640e-01  0.61538
51646.48832826888  0.15287037037  3.30290e+02  2.78056e-01  0.16172
51648.75666160221  0.01157407408  3.58947e+02  4.23643e-01  1.00000
51651.08305049110  0.34407407407  3.85003e+02  2.61457e-01  0.09473
51652.25962456517  0.01083333333  4.14782e+02  4.72739e-01  0.99145
51653.54295789851  0.01175925926  4.46154e+02  4.68577e-01  1.00000
51655.20045789851  0.47388888889  4.72224e+02  3.96219e-01  0.03673
51658.60471715777  0.00481481481  5.98655e+02  8.48256e-01  1.00000
51660.09258752814  0.01268518519  8.35240e+02  6.67963e-01  0.85401
51662.17545789851  0.00648148148  1.77812e+03  1.26000e+00  1.00000
51664.53980975036  0.12472222222  1.36638e+03  5.77572e-01  0.19005
51669.07203197258  0.22657407407  8.68574e+02  4.70717e-01  0.10012
51671.09675419480  0.33277777778  7.82609e+02  7.25222e-01  0.02588
51672.90916160221  0.49851851852  8.26393e+02  6.88367e-01  0.02025
51673.42036530592  0.00009259259  8.15968e+02  7.14129e+00  1.00000
51675.09193937999  0.39722222222  6.42179e+02  6.15340e-01  0.02471
51676.40758752814  0.00787037037  5.17441e+02  6.16824e-01  1.00000
51678.46629123185  0.01398148148  4.06557e+02  4.10215e-01  1.00000
51680.39129123184  0.01194444444  3.53137e+02  4.15247e-01  0.99225
51682.31610604665  0.00990740741  2.59771e+02  3.89532e-01  1.00000
51684.27092086147  0.50009259259  1.94882e+02  2.44950e-01  0.03759
51684.77268012073  0.00166666667  1.75692e+02  7.81051e-01  1.00000
51686.76805049110  0.47203703704  1.36433e+02  2.15861e-01  0.03590
51688.84943937999  0.00657407408  9.77226e+01  2.93298e-01  1.00000
51690.80897641703  0.04018518519  7.41994e+01  2.05326e-01  0.25346
51692.98740234296  0.43305555555  5.19152e+01  1.33890e-01  0.03870
51695.27129123184  0.00990740741  3.79432e+01  1.82759e-01  0.66355
51696.48462456517  0.00990740741  3.29634e+01  1.38760e-01  1.00000
51698.95129123185  0.00287037037  2.50758e+01  2.24847e-01  1.00000
51702.52147641702  0.00620370370  1.55485e+01  1.20433e-01  1.00000
51703.65721715777  0.00601851852  1.36202e+01  1.14439e-01  1.00000
51705.99592086147  0.00194444444  1.04307e+01  1.76193e-01  1.00000
51707.50314308370  0.00583333333  8.06823e+00  8.94662e-02  1.00000
51710.80480975036  0.00324074074  5.52913e+00  9.93652e-02  1.00000
51712.24036530592  0.40750000000  4.74621e+00  3.64721e-02  0.05067
51713.57397641703  0.01111111111  4.30300e+00  4.73407e-02  1.00000
51715.17842086147  0.40055555556  3.83457e+00  3.30056e-02  0.05086
51716.98008752814  0.48518518519  3.47381e+00  3.42576e-02  0.03531
51717.77490234295  0.00500000000  3.39979e+00  6.27291e-02  1.00000
51720.40962456517  0.01027777778  2.81545e+00  3.98155e-02  1.00000
51722.38953197259  0.00500000000  2.41728e+00  5.28940e-02  1.00000
51723.74443937999  0.00490740740  2.52592e+00  5.45773e-02  1.00000
51732.29518012073  0.01324074074  1.79438e+00  2.80061e-02  1.00000
51735.42823567629  0.01240740741  1.76648e+00  3.39124e-02  0.71642
51738.82629123184  0.00379629630  1.82408e+00  5.27440e-02  1.00000
51741.40342086148  0.00574074074  1.76179e+00  4.21425e-02  1.00000
51937.77712456517  0.01407407408  4.07853e+01  1.29500e-01  1.00000
51940.76693937999  0.21870370370  5.51189e+01  1.23463e-01  0.09568
51942.75064308369  0.01425925926  6.18825e+01  1.58476e-01  1.00000
51944.67832826888  0.00527777778  6.61950e+01  2.69411e-01  1.00000
51946.93684678740  0.00546296296  7.15503e+01  2.75308e-01  1.00000
51948.51351345406  0.00768518518  7.41107e+01  2.36234e-01  1.00000
51950.20638382444  0.37555555555  7.57957e+01  9.65674e-02  0.12525
51952.82916160221  0.00703703704  7.34071e+01  2.45698e-01  1.00000
51955.54425419481  0.01064814815  7.48822e+01  2.02617e-01  0.99130
51957.59980975036  0.01064814815  7.28812e+01  1.99021e-01  1.00000
51959.45314308369  0.00972222222  7.05394e+01  2.04909e-01  1.00000
51960.66175419481  0.08129629630  6.77749e+01  1.15234e-01  0.36333
