# src_name=MAXI_J1659-152
# time_[MJD]       half_width_[d]  count_rate    error       fracexp   
#
55467.19018012071  0.14916666667  5.58309e+01  5.91899e-02  0.61825
55468.09619863922  0.00944444444  4.63137e+01  1.68459e-01  1.00000
55469.09592086145  0.00805555555  4.98687e+01  1.89276e-01  1.00000
55470.68693937997  0.44333333333  4.77431e+01  8.60484e-02  0.08417
55472.00268012071  0.49666666667  4.36476e+01  7.91001e-02  0.08128
55473.31221715774  0.43231481481  4.13898e+01  8.68440e-02  0.07346
55475.01258752812  0.43138888889  3.94900e+01  9.99620e-02  0.05302
55476.22610604663  0.45953703704  3.95531e+01  8.07627e-02  0.07637
55477.36119863923  0.37037037037  4.43346e+01  1.38717e-01  0.03600
55478.27693937997  0.23907407407  3.81918e+01  1.39877e-01  0.04725
55479.41323567626  0.27944444444  3.62524e+01  9.63637e-02  0.08085
55480.62360604663  0.44185185185  3.43530e+01  6.96179e-02  0.09283
55482.06601345404  0.37259259259  4.00117e+01  1.11541e-01  0.04995
55484.31564308367  0.41129629629  3.28901e+01  5.91268e-02  0.13237
55485.16527271330  0.01851851852  3.39350e+01  1.02979e-01  1.00000
55486.50684678738  0.31212962963  1.68999e+01  7.66031e-02  0.05340
55487.87508752811  0.17870370370  2.09669e+01  5.94320e-02  0.19223
55489.31712456515  0.44388888889  1.72398e+01  4.53461e-02  0.10930
55490.57749493553  0.46203703704  2.23212e+01  5.81902e-02  0.08257
55491.82601345405  0.01074074074  2.29165e+01  1.11600e-01  0.99138
55493.74925419479  0.49379629630  2.24145e+01  1.16624e-01  0.01931
55495.03934678738  0.00481481482  1.97481e+01  1.54064e-01  1.00000
55497.01629123182  0.49490740741  1.13852e+01  6.21873e-02  0.03442
55498.91740234293  0.43064814815  1.03801e+01  6.34785e-02  0.03462
55500.77749493552  0.46555555556  1.33380e+01  6.94165e-02  0.03441
55502.02814308368  0.00972222222  1.59838e+01  9.75407e-02  1.00000
55503.06471715774  0.00814814815  1.62486e+01  1.07425e-01  1.00000
55504.55092086145  0.49398148148  1.57310e+01  7.17466e-02  0.03580
55506.20036530589  0.00657407408  1.49045e+01  1.14543e-01  1.00000
55508.09786530590  0.00907407407  1.40144e+01  9.45397e-02  1.00000
55567.00499493552  0.00250000000  8.95838e-01  4.66184e-02  1.00000
