# src_name=MAXI_J1659-152
# time_[MJD]       half_width_[d]  count_rate    error       fracexp   
#
55467.19018012071  0.14916666667  3.59269e+02  1.50148e-01  0.61825
55468.09619863922  0.00944444444  3.40071e+02  4.56483e-01  1.00000
55469.09592086145  0.00805555555  4.14090e+02  5.45416e-01  1.00000
55470.68693937997  0.44333333333  3.98203e+02  2.48508e-01  0.08417
55472.00268012071  0.49666666667  4.22839e+02  2.46198e-01  0.08128
55473.31221715774  0.43231481481  4.70591e+02  2.92829e-01  0.07346
55475.01258752812  0.43138888889  4.56509e+02  3.39873e-01  0.05302
55476.22610604663  0.45953703704  4.68133e+02  2.77847e-01  0.07637
55477.36119863923  0.37037037037  5.98773e+02  5.09788e-01  0.03600
55478.27693937997  0.23907407407  4.80835e+02  4.96316e-01  0.04725
55479.41323567626  0.27944444444  4.34900e+02  3.33764e-01  0.08085
55480.62360604663  0.44185185185  4.10420e+02  2.40631e-01  0.09283
55482.06601345404  0.37259259259  5.62957e+02  4.18388e-01  0.04995
55484.31564308367  0.41129629629  4.09445e+02  2.08617e-01  0.13237
55485.16527271330  0.01851851852  4.80776e+02  3.87611e-01  1.00000
55486.50684678738  0.31212962963  3.29878e+02  3.38439e-01  0.05340
55487.87508752811  0.17870370370  3.50467e+02  2.42984e-01  0.19223
55489.31712456515  0.44388888889  3.06208e+02  1.91110e-01  0.10930
55490.57749493553  0.46203703704  3.29001e+02  2.23403e-01  0.08257
55491.82601345405  0.01074074074  3.18485e+02  4.16041e-01  0.99138
55493.74925419479  0.49379629630  2.96549e+02  4.24199e-01  0.01931
55495.03934678738  0.00481481482  2.70469e+02  5.70161e-01  1.00000
55497.01629123182  0.49490740741  1.90156e+02  2.54148e-01  0.03442
55498.91740234293  0.43064814815  1.73441e+02  2.59480e-01  0.03462
55500.77749493552  0.46555555556  1.56747e+02  2.37967e-01  0.03441
55502.02814308368  0.00972222222  1.35118e+02  2.83598e-01  1.00000
55503.06471715774  0.00814814815  1.13957e+02  2.84491e-01  1.00000
55504.55092086145  0.49398148148  9.08275e+01  1.72398e-01  0.03580
55506.20036530589  0.00657407408  8.17863e+01  2.68319e-01  1.00000
55508.09786530590  0.00907407407  7.18183e+01  2.14015e-01  1.00000
55567.00499493552  0.00250000000  4.45780e+00  1.01582e-01  1.00000
