# src_name=SWIFT_J1842.5-1124
# time_[MJD]       half_width_[d]  count_rate    error       fracexp   
#
54656.93240234294  0.43175925926  3.41405e+00  3.90401e-02  0.03002
54658.26980975035  0.01027777778  3.09573e+00  4.17504e-02  1.00000
54659.87360604665  0.36907407407  2.72803e+00  3.10368e-02  0.04441
54661.97156900961  0.03777777778  2.35922e+00  4.00341e-02  0.22549
54663.23471715776  0.01777777778  2.33927e+00  2.75950e-02  1.00000
54664.67999493553  0.01175925926  2.17478e+00  3.27149e-02  1.00000
54718.32721715776  0.01750000000  1.18626e+01  6.26325e-02  1.00000
54721.08147641701  0.01175925926  1.29076e+01  7.97006e-02  1.00000
54724.08851345406  0.00916666667  1.39468e+01  9.38339e-02  1.00000
54725.92656900961  0.00962962963  1.45575e+01  9.35336e-02  1.00000
54727.42286530590  0.33129629630  1.38549e+01  7.35667e-02  0.04472
54728.98638382442  0.01222222222  1.31543e+01  7.92207e-02  0.99242
54730.90175419479  0.00759259259  1.01839e+01  8.81027e-02  1.00000
54732.06527271331  0.00740740741  7.28852e+00  7.54597e-02  1.00000
54733.25036530590  0.00694444445  4.00202e+00  5.77496e-02  1.00000
54734.99721715775  0.00324074074  7.20933e+00  1.15119e-01  0.97143
54737.57406900961  0.00842592593  5.63381e+00  6.22043e-02  1.00000
54739.46693937998  0.01277777778  5.53250e+00  5.02389e-02  0.99275
54741.41490234295  0.00944444444  3.92866e+00  4.90639e-02  1.00000
54745.01240234294  0.00879629630  5.22315e+00  5.86198e-02  1.00000
54747.58388382442  0.00842592592  5.37421e+00  6.10908e-02  0.98901
54749.41545789850  0.00870370370  6.21323e+00  6.42739e-02  1.00000
54751.10712456517  0.00518518519  8.69758e+00  9.85247e-02  1.00000
54753.06193937998  0.01074074074  8.85820e+00  6.90850e-02  1.00000
54755.11184678739  0.00453703704  5.04212e+00  8.01952e-02  1.00000
54757.06064308369  0.01851851852  2.79883e+00  2.96484e-02  0.99500
54759.22018012072  0.01453703704  5.56252e+00  4.70572e-02  1.00000
54761.85453197257  0.00018518518  5.49000e+00  4.14201e-01  1.00000
54763.27212456516  0.00777777778  6.83805e+00  7.13291e-02  1.00000
54765.83518012072  0.01009259259  6.33355e+00  6.02630e-02  1.00000
54767.53443937998  0.00509259259  7.42091e+00  9.18306e-02  1.00000
54769.62934678739  0.00203703704  7.19380e+00  1.42958e-01  1.00000
54772.24101345406  0.01685185185  6.84447e+00  4.84813e-02  1.00000
54773.99416160220  0.00722222222  5.97905e+00  6.92164e-02  1.00000
54776.15443937998  0.00805555555  5.58002e+00  6.33138e-02  1.00000
54778.31777271332  0.00583333333  6.18890e+00  7.83568e-02  1.00000
54782.76564308368  0.01000000000  5.83932e+00  5.84022e-02  0.99074
54786.03999493553  0.01324074074  5.56325e+00  4.93101e-02  1.00000
54789.52295789850  0.00805555556  4.58249e+00  5.73761e-02  1.00000
54794.02110604664  0.01324074074  4.68100e+00  4.53905e-02  0.99301
54798.40656900961  0.01500000000  3.55190e+00  3.70180e-02  1.00000
54802.83684678738  0.43250000000  2.53681e+00  3.00999e-02  0.03747
