# src_name=SWIFT_J1842.5-1124
# time_[MJD]       half_width_[d]  count_rate    error       fracexp   
#
54656.93240234294  0.43175925926  1.77069e+01  8.89094e-02  0.03002
54658.26980975035  0.01027777778  1.58741e+01  9.45417e-02  1.00000
54659.87360604665  0.36907407407  1.41384e+01  7.06567e-02  0.04441
54661.97156900961  0.03777777778  1.26967e+01  9.28733e-02  0.22549
54663.23471715776  0.01777777778  1.22842e+01  6.32359e-02  1.00000
54664.67999493553  0.01175925926  1.09775e+01  7.35003e-02  1.00000
54718.32721715776  0.01750000000  6.92963e+01  1.51379e-01  1.00000
54721.08147641701  0.01175925926  7.96300e+01  1.97960e-01  1.00000
54724.08851345406  0.00916666667  8.96844e+01  2.37947e-01  1.00000
54725.92656900961  0.00962962963  1.06163e+02  2.52586e-01  1.00000
54727.42286530590  0.33129629630  1.23917e+02  2.20011e-01  0.04472
54728.98638382442  0.01222222222  1.48013e+02  2.65739e-01  0.99242
54730.90175419479  0.00759259259  1.72163e+02  3.62245e-01  1.00000
54732.06527271331  0.00740740741  1.71837e+02  3.66398e-01  1.00000
54733.25036530590  0.00694444445  1.35614e+02  3.36172e-01  1.00000
54734.99721715775  0.00324074074  1.72503e+02  5.63117e-01  0.97143
54737.57406900961  0.00842592593  1.54906e+02  3.26177e-01  1.00000
54739.46693937998  0.01277777778  1.53105e+02  2.64286e-01  0.99275
54741.41490234295  0.00944444444  1.23800e+02  2.75423e-01  1.00000
54745.01240234294  0.00879629630  1.30656e+02  2.93186e-01  1.00000
54747.58388382442  0.00842592592  1.23601e+02  2.92974e-01  0.98901
54749.41545789850  0.00870370370  1.23113e+02  2.86107e-01  1.00000
54751.10712456517  0.00518518519  1.28221e+02  3.78291e-01  1.00000
54753.06193937998  0.01074074074  1.23307e+02  2.57753e-01  1.00000
54755.11184678739  0.00453703704  1.00350e+02  3.57768e-01  1.00000
54757.06064308369  0.01851851852  7.09986e+01  1.49327e-01  0.99500
54759.22018012072  0.01453703704  9.25032e+01  1.91897e-01  1.00000
54761.85453197257  0.00018518518  9.12488e+01  1.68865e+00  1.00000
54763.27212456516  0.00777777778  9.14511e+01  2.60852e-01  1.00000
54765.83518012072  0.01009259259  8.52726e+01  2.21122e-01  1.00000
54767.53443937998  0.00509259259  8.42530e+01  3.09422e-01  1.00000
54769.62934678739  0.00203703704  7.45761e+01  4.60287e-01  1.00000
54772.24101345406  0.01685185185  7.38343e+01  1.59233e-01  1.00000
54773.99416160220  0.00722222222  7.07956e+01  2.38175e-01  1.00000
54776.15443937998  0.00805555555  6.53988e+01  2.16753e-01  1.00000
54778.31777271332  0.00583333333  6.22812e+01  2.48570e-01  1.00000
54782.76564308368  0.01000000000  5.53502e+01  1.79807e-01  0.99074
54786.03999493553  0.01324074074  5.11218e+01  1.49477e-01  1.00000
54789.52295789850  0.00805555556  4.70730e+01  1.83894e-01  1.00000
54794.02110604664  0.01324074074  3.83862e+01  1.29982e-01  0.99301
54798.40656900961  0.01500000000  3.48345e+01  1.15928e-01  1.00000
54802.83684678738  0.43250000000  2.84270e+01  1.00760e-01  0.03747
