# src_name=XTE_J1650-500
# time_[MJD]       half_width_[d]  count_rate    error       fracexp   
#
52158.99814308369  0.00231481481  6.40671e+02  1.26557e+00  1.00000
52160.76879123184  0.38296296296  7.86654e+02  3.84246e-01  0.08051
52162.95740234295  0.50009259259  8.11655e+02  7.42561e-01  0.01703
52163.46305049110  0.00555555556  8.16308e+02  1.78569e+00  0.26667
52165.63749493554  0.48055555556  7.81941e+02  4.30254e-01  0.05087
52167.98869863925  0.49675925926  7.72238e+02  1.00276e+00  0.00895
52169.84860604665  0.44092592592  7.65328e+02  5.08485e-01  0.03885
52170.47990234295  0.00759259259  7.83179e+02  2.01967e+00  0.14634
52171.74221715776  0.19750000000  7.89408e+02  5.20661e-01  0.08533
52173.11666160221  0.02064814815  7.71769e+02  6.31380e-01  0.54260
52174.77064308370  0.46851851852  6.95923e+02  3.92732e-01  0.05573
52176.39934678740  0.36740740741  6.10948e+02  3.11311e-01  0.09929
52177.36008752814  0.00870370370  5.58165e+02  1.39215e+00  0.19149
52179.28814308370  0.49861111111  4.96769e+02  6.26908e-01  0.01467
52180.34851345407  0.49935185185  5.18126e+02  4.40351e-01  0.03097
52181.40879123184  0.49944444445  5.06243e+02  4.25207e-01  0.03244
52182.26055049110  0.29083333334  4.90676e+02  3.49543e-01  0.07991
52183.75045789851  0.50000000000  5.08262e+02  2.40109e-01  0.10204
52184.38101345407  0.12944444445  5.08750e+02  6.01106e-01  0.06295
52187.15953197258  0.01500000000  5.28453e+02  6.50723e-01  0.48148
52190.24351345406  0.05138888889  5.27856e+02  4.55511e-01  0.28649
52193.15323567629  0.04907407408  5.16878e+02  3.77243e-01  0.42830
52196.13166160221  0.04861111111  4.83656e+02  3.38381e-01  0.50286
52199.99527271332  0.07351851852  4.24872e+02  3.07957e-01  0.35264
52202.08805049110  0.04870370371  3.91245e+02  2.80856e-01  0.58935
52205.43434678740  0.01833333333  3.30379e+02  3.27941e-01  0.96970
52208.45212456518  0.04407407407  2.86827e+02  3.13844e-01  0.38235
52211.36971715777  0.10370370370  2.43892e+02  2.04358e-01  0.32589
52214.92758752814  0.05231481481  1.98238e+02  1.94951e-01  0.57699
52217.91388382443  0.50009259259  1.73596e+02  2.48287e-01  0.03259
52218.91323567629  0.49925925926  1.65378e+02  3.03787e-01  0.02077
52220.29166160221  0.04101851852  1.55106e+02  2.57679e-01  0.32957
52222.13814308369  0.38379629630  1.40268e+02  2.52964e-01  0.03305
52224.07397641703  0.49925925926  1.26116e+02  3.40464e-01  0.01261
52225.98592086147  0.10935185185  1.12446e+02  1.86988e-01  0.17019
52227.81018012073  0.33731481482  1.05638e+02  2.17163e-01  0.03843
52229.03508752814  0.03148148148  1.00624e+02  2.50778e-01  0.29412
52230.72842086147  0.33296296296  1.01744e+02  2.33131e-01  0.03254
52232.04555049110  0.00787037037  1.44226e+02  3.27584e-01  0.98824
52233.24036530592  0.00861111111  1.75206e+02  3.43141e-01  1.00000
52234.54749493554  0.00666666666  1.87231e+02  4.03146e-01  1.00000
52235.88443938000  0.27342592593  1.77467e+02  2.20080e-01  0.07755
52236.86351345407  0.01064814815  1.69224e+02  3.03265e-01  1.00000
52237.92258752814  0.01101851852  1.61103e+02  2.90883e-01  1.00000
52265.68980975036  0.00861111111  1.85983e+01  1.11798e-01  1.00000
52267.89230975036  0.00851851852  1.04343e+01  8.41934e-02  1.00000
52270.00545789851  0.01018518519  5.03494e+00  5.34861e-02  1.00000
52273.11212456517  0.01111111111  1.84100e+00  3.09654e-02  1.00000
52275.16138382444  0.00870370370  3.87315e+00  5.07468e-02  1.00000
52277.54434678740  0.00851851852  7.38003e+00  7.08068e-02  1.00000
52279.90740234296  0.00787037037  8.44308e+00  7.87918e-02  1.00000
52281.62490234296  0.01055555556  7.76290e+00  6.52378e-02  1.00000
52283.75638382444  0.01092592592  4.47445e+00  4.86820e-02  1.00000
52285.01666160222  0.01361111111  2.58794e+00  3.31710e-02  1.00000
52287.63953197259  0.00981481481  1.20012e+00  2.66071e-02  1.00000
52289.69166160221  0.00898148148  1.46408e+00  3.08869e-02  1.00000
52291.74860604665  0.01074074074  7.71361e+00  6.44674e-02  1.00000
52293.59573567628  0.00953703704  9.20201e+00  7.50899e-02  0.99029
52295.64480975036  0.00916666667  6.89230e+00  6.59636e-02  1.00000
52298.04406900962  0.01101851852  4.45973e+00  4.83972e-02  1.00000
52299.94249493555  0.01111111111  2.48934e+00  3.60074e-02  1.00000
52301.08110604666  0.01138888889  1.82963e+00  3.06155e-02  0.99187
52303.70814308369  0.01083333333  5.74944e+00  5.54192e-02  1.00000
52305.75916160221  0.01148148148  6.05397e+00  5.52395e-02  1.00000
52307.09175419481  0.01111111111  7.39744e+00  6.23315e-02  0.99167
52309.72295789851  0.01083333333  4.10065e+00  4.68030e-02  1.00000
52311.19406900962  0.00620370370  2.81575e+00  5.12507e-02  1.00000
52313.61610604665  0.01009259259  1.12219e+00  2.54073e-02  1.00000
52315.66527271332  0.01185185185  1.37743e+00  2.59804e-02  1.00000
52317.57823567629  0.00962962963  2.65899e+00  3.99744e-02  1.00000
52319.11869863925  0.00750000000  1.29150e+00  3.17002e-02  1.00000
52321.68268012074  0.01944444445  5.70534e+00  4.13055e-02  0.99524
52323.79888382443  0.01657407407  3.85574e+00  3.66917e-02  1.00000
52325.65471715777  0.01018518519  2.13622e+00  3.48390e-02  1.00000
52327.43814308369  0.00638888889  1.21380e+00  3.31580e-02  1.00000
52329.66323567629  0.01037037037  5.67634e-01  1.86162e-02  1.00000
52331.49934678740  0.03740740741  2.96353e-01  1.57716e-02  0.27228
52333.19036530591  0.00750000000  2.23054e-01  1.79249e-02  1.00000
52335.17175419480  0.00888888889  9.42577e-01  2.49253e-02  1.00000
52338.30888382443  0.06750000000  6.66405e-01  3.12815e-02  0.06310
52340.06629123184  0.01027777778  4.83740e+00  5.24264e-02  0.99099
52342.55629123184  0.01083333333  2.40154e+00  3.58173e-02  1.00000
52345.00943938000  0.01620370370  1.10348e+00  1.99086e-02  1.00000
52346.14749493555  0.03722222222  7.94165e-01  2.27690e-02  0.24378
52349.00342086147  0.03000000000  3.88546e-01  1.45119e-02  0.44444
52350.81869863925  0.01509259259  4.45595e-01  1.43885e-02  1.00000
52352.66230975036  0.01037037037  3.05494e-01  1.60281e-02  1.00000
52354.77638382444  0.01722222222  3.84466e-01  1.28806e-02  1.00000
52356.61990234295  0.01240740741  1.12191e+00  2.28866e-02  1.00000
52358.59999493555  0.01250000000  2.19792e+00  3.18992e-02  1.00000
52360.78453197258  0.01907407407  3.29130e+00  3.16002e-02  1.00000
52370.47730975036  0.01092592593  4.18583e-01  1.68529e-02  1.00000
52385.48230975035  0.00574074074  1.65749e-01  2.11853e-02  1.00000
52387.10999493554  0.00046296297  -1.48574e-01  6.39659e-02  1.00000
52389.09258752814  0.00824074074  2.06861e-01  1.68512e-02  1.00000
52391.37064308369  0.00092592593  1.19446e-01  5.65222e-02  1.00000
52395.55610604666  0.00435185185  3.43833e-01  2.43533e-02  1.00000
52398.68295789851  0.00638888889  1.34384e-01  1.85919e-02  1.00000
52400.59064308369  0.00703703704  2.82773e-01  2.01360e-02  1.00000
52402.48656900962  0.00518518518  7.35600e-01  2.95715e-02  1.00000
52405.08518012073  0.00583333333  3.50338e+00  9.00537e-02  0.42857
52408.12508752814  0.00148148148  1.21100e+00  6.87784e-02  1.00000
52410.55156900962  0.00703703704  6.32978e-01  2.35246e-02  1.00000
52412.01379123185  0.00388888889  6.49025e-01  3.25678e-02  1.00000
52415.35795789851  0.00564814815  3.49846e-01  2.20112e-02  1.00000
52416.56416160221  0.00407407407  4.34655e-01  2.63264e-02  1.00000
52419.17351345406  0.00546296296  2.38551e-01  1.99835e-02  1.00000
52421.97193937999  0.00407407407  2.42065e-01  2.50602e-02  1.00000
52423.09629123184  0.00083333333  3.19044e-02  4.87532e-02  1.00000
52426.45425419480  0.00546296296  4.94355e-01  2.51463e-02  0.98305
52429.06342086147  0.00444444444  2.48377e-01  2.39495e-02  0.97917
52430.67166160222  0.00546296296  1.37130e-01  2.07118e-02  1.00000
52434.83508752814  0.00351851852  2.64249e-01  2.58064e-02  1.00000
52436.11832826888  0.00398148148  1.38159e-01  2.32159e-02  1.00000
52446.25092086147  0.40490740741  1.91878e-01  1.50169e-02  0.02538
53327.47851345406  0.00546296296  3.12654e-01  2.15952e-02  1.00000
