# src_name=XTE_J1652-453
# time_[MJD]       half_width_[d]  count_rate    error       fracexp   
#
55014.61360604664  0.00870370370  1.44771e+00  3.10253e-02  1.00000
55016.57425419478  0.00916666667  3.19417e+00  4.49057e-02  1.00000
55018.87314308367  0.00398148148  2.32642e+00  5.81500e-02  1.00000
55020.90832826886  0.50009259259  3.10464e+00  3.12262e-02  0.03685
55021.41082826885  0.00240740741  3.17748e+00  8.73967e-02  1.00000
55022.92721715775  0.00064814815  2.00390e+00  1.33761e-01  1.00000
55025.21582826885  0.00685185185  1.44527e+00  3.49380e-02  1.00000
55028.87619863923  0.00092592592  3.18498e+00  1.41089e-01  1.00000
55031.64684678738  0.03787037037  5.34207e+00  7.00713e-02  0.16626
55034.96388382441  0.01398148148  2.68635e+00  3.33451e-02  1.00000
55036.06342086145  0.00796296296  4.06544e+00  5.43556e-02  1.00000
55038.67897641700  0.00370370370  4.13485e+00  8.03785e-02  1.00000
55040.38980975034  0.00842592593  2.41022e+00  4.06862e-02  1.00000
55042.07592086145  0.00805555555  1.81884e+00  3.61475e-02  1.00000
55043.25749493553  0.01074074074  2.53114e+00  3.69291e-02  1.00000
55045.75453197256  0.01388888889  3.88296e+00  4.02231e-02  1.00000
55047.38147641701  0.01620370370  3.68244e+00  3.62651e-02  1.00000
55049.99823567626  0.40962962963  2.47162e+00  2.60294e-02  0.05154
55052.48119863923  0.01537037037  2.78998e+00  3.24106e-02  1.00000
55054.64508752812  0.00907407407  2.41503e+00  3.92453e-02  1.00000
55056.81619863922  0.00259259259  2.46020e+00  7.41048e-02  1.00000
55058.24916160219  0.00833333334  2.80517e+00  4.41365e-02  1.00000
55061.23592086145  0.00787037037  2.24677e+00  4.06453e-02  1.00000
55063.34730975034  0.01055555556  2.05696e+00  3.35815e-02  1.00000
55065.26888382441  0.11620370370  2.63731e+00  1.43095e-02  0.64143
55066.27184678738  0.00657407407  3.15051e+00  5.26625e-02  1.00000
55069.56184678737  0.00842592593  3.52463e+00  4.92012e-02  1.00000
55072.17416160219  0.01240740740  4.03652e+00  4.33902e-02  1.00000
55074.00740234293  0.01083333333  3.75588e+00  4.47923e-02  1.00000
55077.53768012071  0.00685185185  2.83974e+00  4.89738e-02  1.00000
55080.09073567626  0.00972222222  1.99790e+00  3.44852e-02  1.00000
55082.18555049108  0.00842592592  3.48755e+00  4.89418e-02  1.00000
55084.01184678738  0.00824074074  7.19309e+00  7.10727e-02  1.00000
55087.33749493552  0.00703703703  6.86245e+00  7.51230e-02  1.00000
55090.47823567626  0.00166666667  5.96383e+00  1.43902e-01  1.00000
55092.24286530589  0.00574074074  5.69389e+00  7.57615e-02  1.00000
55094.79351345405  0.00564814815  5.36525e+00  7.41430e-02  1.00000
55106.11842086145  0.01000000000  5.94576e+00  5.86586e-02  1.00000
55108.20092086145  0.00805555555  5.98344e+00  6.59426e-02  0.98851
55110.88055049108  0.00712962963  5.99979e+00  6.97851e-02  1.00000
55112.21379123181  0.00481481482  6.13650e+00  8.58813e-02  1.00000
55118.02832826886  0.00990740741  5.19819e+00  5.51029e-02  1.00000
55120.84314308367  0.00712962963  5.02101e+00  6.38396e-02  1.00000
55123.91397641701  0.01018518518  4.69209e+00  5.16329e-02  1.00000
55125.85221715775  0.00546296296  4.64811e+00  7.07724e-02  0.98305
55133.00656900959  0.00759259260  3.88297e+00  5.44020e-02  1.00000
55135.73286530589  0.00388888889  3.72596e+00  7.44620e-02  1.00000
55138.61703197256  0.00379629630  3.39140e+00  7.19014e-02  1.00000
55142.94221715775  0.00472222222  2.98342e+00  6.04661e-02  1.00000
55145.61379123182  0.00537037037  3.27511e+00  5.94072e-02  1.00000
55149.22888382441  0.01361111111  2.71233e+00  3.39588e-02  1.00000
55152.74110604664  0.00527777778  2.17517e+00  4.92712e-02  0.98246
55194.48073567626  0.01657407407  2.29231e-01  1.12910e-02  1.00000
55196.06388382441  0.00675925926  2.21639e-01  1.65280e-02  1.00000
