# src_name=XTE_J1752-223
# time_[MJD]       half_width_[d]  count_rate    error       fracexp   
#
55131.45666160219  0.50009259259  5.76884e+01  5.91364e-02  0.19089
55132.41277271330  0.45601851852  5.96419e+01  4.78654e-02  0.33036
55133.73101345404  0.39722222222  6.03540e+01  9.55692e-02  0.09627
55134.97212456515  0.46740740741  6.04400e+01  9.66967e-02  0.08003
55136.15499493552  0.39861111111  5.97257e+01  8.97905e-02  0.10755
55137.32842086145  0.40500000000  6.07170e+01  8.23192e-02  0.12803
55138.72703197256  0.44009259259  6.23908e+01  1.08376e-01  0.06985
55140.09240234293  0.50009259259  6.21845e+01  9.13247e-02  0.08628
55141.09221715775  0.49972222222  6.07503e+01  7.56188e-02  0.12303
55142.68268012071  0.47425925926  6.11303e+01  8.53078e-02  0.10250
55143.89480975034  0.37824074074  5.96818e+01  9.98677e-02  0.09155
55145.06295789849  0.50009259259  5.92825e+01  8.59115e-02  0.09295
55146.02971715775  0.46666666667  5.91304e+01  1.03499e-01  0.06845
55147.48638382441  0.50000000000  6.02786e+01  1.16204e-01  0.05167
55148.66305049108  0.37277777777  6.04258e+01  8.37838e-02  0.13363
55149.90221715775  0.50009259259  5.98909e+01  6.87476e-02  0.14664
55150.90166160219  0.49935185185  6.02401e+01  6.96549e-02  0.14389
55152.81851345404  0.47324074074  6.04071e+01  8.53727e-02  0.10135
55154.65230975034  0.47629629630  6.26471e+01  9.23600e-02  0.08923
55215.93156900960  0.01851851852  8.18895e+01  1.62008e-01  0.97500
55217.43555049108  0.47620370370  5.58191e+01  1.14308e-01  0.05192
55218.49027271330  0.33703703704  2.92462e+01  1.70335e-01  0.01731
55219.80786530589  0.26203703704  2.30400e+01  2.05799e-01  0.01201
55221.03193937997  0.34537037037  1.96090e+01  7.19106e-02  0.06354
55222.11036530590  0.24101851852  1.04339e+01  6.10441e-02  0.06723
55224.30184678738  0.46324074074  1.03717e+01  5.04190e-02  0.05097
55225.78768012071  0.49425925926  1.17918e+01  1.09917e-01  0.01143
55227.70295789849  0.01916666667  6.68991e+00  4.49433e-02  1.00000
55228.69703197257  0.00657407407  5.21696e+00  6.77672e-02  1.00000
55229.79508752812  0.01796296296  4.61971e+00  3.85786e-02  1.00000
55231.63119863922  0.01648148148  9.04559e+00  5.65161e-02  0.99438
55232.99379123182  0.00629629630  6.60223e+00  1.17280e-01  0.44118
55235.03277271330  0.01675925926  7.92400e+00  5.82419e-02  0.80663
55236.70203197256  0.50009259259  6.32207e+00  4.53648e-02  0.03555
55237.59740234293  0.39527777778  6.93700e+00  6.39548e-02  0.02483
55238.89832826886  0.00564814815  4.13420e+00  6.50835e-02  1.00000
55240.39999493552  0.39361111111  8.16299e+00  5.06335e-02  0.04681
55242.29055049108  0.39324074074  8.19576e+00  5.45721e-02  0.04050
55243.58758752812  0.00861111111  3.72781e+00  5.00525e-02  1.00000
55245.04490234292  0.00981481481  4.53362e+00  5.19479e-02  0.99057
55246.60943937997  0.39953703704  6.67136e+00  3.92250e-02  0.06280
55248.17147641700  0.46027777778  4.32784e+00  2.90284e-02  0.06457
55249.38518012071  0.29675925926  4.29372e+00  3.43830e-02  0.07083
55250.71536530589  0.27083333333  2.08924e+00  2.23246e-02  0.08957
55252.19249493552  0.42833333333  2.00401e+00  2.58803e-02  0.04042
55254.01388382441  0.49620370370  2.44702e+00  3.40386e-02  0.02463
55255.54249493552  0.49648148148  2.48785e+00  3.61475e-02  0.02219
55257.19916160219  0.45944444444  2.34782e+00  2.96424e-02  0.03366
55258.91425419478  0.19805555556  1.63456e+00  3.14935e-02  0.04815
55260.40221715775  0.41009259259  8.10673e-01  2.35304e-02  0.02077
55262.87092086145  0.49138888889  7.22054e-01  2.55716e-02  0.01319
55264.13971715775  0.00703703704  1.19063e+00  3.12912e-02  1.00000
55265.38832826886  0.00083333334  9.41991e-01  8.08802e-02  1.00000
55267.01869863922  0.13472222222  9.65655e-01  2.26157e-02  0.08110
55268.55443937996  0.36527777778  9.71697e-01  1.72985e-02  0.05146
55269.89712456516  0.00333333333  1.30604e+00  4.76175e-02  1.00000
55271.06842086145  0.00907407407  1.72764e+00  3.31935e-02  1.00000
55272.50805049108  0.40037037037  1.94163e+00  2.44542e-02  0.04695
55274.27073567626  0.27250000000  1.19023e+00  1.84766e-02  0.07407
55275.91240234293  0.39675925926  1.29849e+00  3.01971e-02  0.02077
55277.34656900960  0.00907407407  1.18287e+00  2.74660e-02  1.00000
55278.58971715775  0.00870370370  1.22906e+00  2.87399e-02  0.98936
55279.96323567626  0.33592592593  1.56057e+00  2.37443e-02  0.04768
55282.14943937997  0.43175925926  2.22149e+00  2.71038e-02  0.04053
55284.18110604664  0.29305555556  7.02725e+00  5.28911e-02  0.04961
55285.44897641700  0.00500000000  1.02595e+01  1.08970e-01  1.00000
55287.21619863923  0.46407407408  9.60024e+00  5.63443e-02  0.03771
55289.07166160220  0.30046296296  1.13121e+01  5.23481e-02  0.07951
55290.28277271330  0.01101851852  1.48843e+01  8.84161e-02  1.00000
55291.52462456515  0.00712962963  1.42710e+01  1.07627e-01  1.00000
55293.11212456516  0.00500000000  1.32129e+01  1.23664e-01  1.00000
55294.26480975034  0.00509259259  1.36086e+01  1.25502e-01  0.98182
55295.71851345404  0.00824074074  1.33161e+01  9.67015e-02  1.00000
55296.89786530589  0.00500000000  1.30817e+01  1.24204e-01  0.98148
55298.18360604663  0.00425925926  1.23083e+01  1.29318e-01  1.00000
55299.95064308367  0.00629629630  1.11883e+01  1.01407e-01  1.00000
55301.80795789848  0.00398148148  1.06137e+01  1.24205e-01  1.00000
55303.62684678737  0.00620370371  9.94464e+00  9.63157e-02  1.00000
55305.58740234294  0.00564814815  9.27391e+00  9.74780e-02  1.00000
55307.09332826886  0.14490740740  8.66473e+00  7.35898e-02  0.06390
55308.80101345404  0.00629629629  8.00005e+00  8.57496e-02  1.00000
55310.30406900959  0.39916666667  7.56056e+00  6.14840e-02  0.02900
55312.26360604663  0.33555555556  7.04611e+00  6.50726e-02  0.02870
55313.50425419478  0.00620370370  6.73427e+00  7.92589e-02  1.00000
55314.67990234293  0.00629629629  6.45696e+00  7.70370e-02  1.00000
55316.05832826886  0.00564814815  6.23698e+00  7.99397e-02  1.00000
55317.17249493553  0.00277777778  6.05374e+00  1.12303e-01  1.00000
55318.54055049108  0.00768518518  5.67808e+00  6.53886e-02  1.00000
55320.24018012071  0.26935185185  5.75722e+00  4.89780e-02  0.05156
55321.90397641700  0.23981481482  5.30567e+00  4.55250e-02  0.06178
55323.42925419478  0.01527777778  4.44650e+00  4.10400e-02  1.00000
55325.29156900960  0.28555555556  4.08859e+00  5.95746e-02  0.02335
55326.44471715775  0.00462962963  3.59321e+00  6.76992e-02  0.98000
55328.16638382441  0.42814814815  3.27006e+00  3.99588e-02  0.02768
55330.10555049108  0.33935185185  2.80491e+00  3.97409e-02  0.03029
55331.72749493552  0.00240740741  2.03400e+00  6.99244e-02  1.00000
55333.71286530589  0.00648148148  1.81441e+00  4.02494e-02  1.00000
55334.73434678737  0.00185185185  1.67344e+00  7.23152e-02  1.00000
55336.51369863923  0.00824074074  1.54436e+00  3.29321e-02  1.00000
55338.54351345405  0.00546296296  1.38905e+00  3.83595e-02  1.00000
55340.71036530589  0.00564814815  1.47309e+00  3.88499e-02  1.00000
55342.46240234294  0.00453703704  1.46731e+00  4.32617e-02  1.00000
55344.67036530589  0.00398148148  1.63683e+00  4.87761e-02  1.00000
55346.17703197256  0.00620370371  1.68940e+00  3.96980e-02  1.00000
55347.28888382441  0.00750000000  1.95223e+00  3.90536e-02  0.98765
55348.68703197256  0.00416666667  2.28898e+00  5.63838e-02  1.00000
55350.03036530589  0.00342592593  2.54075e+00  6.55119e-02  1.00000
55352.80138382442  0.00796296296  2.91295e+00  4.62804e-02  0.98837
55354.86962456515  0.00472222222  3.08571e+00  6.21059e-02  0.98039
55356.17629123182  0.00398148148  3.28393e+00  6.90880e-02  1.00000
55358.55869863923  0.00342592592  3.13450e+00  7.27651e-02  1.00000
55360.23138382442  0.00648148148  3.30712e+00  5.43396e-02  1.00000
55362.25971715775  0.00648148148  3.20293e+00  5.34767e-02  1.00000
55364.89453197256  0.00407407407  2.70841e+00  6.20255e-02  1.00000
55366.85527271331  0.00592592593  2.68978e+00  5.12518e-02  1.00000
55368.95082826886  0.00500000000  2.26962e+00  5.12531e-02  1.00000
55371.95786530590  0.00500000000  1.93756e+00  4.73555e-02  1.00000
55374.11730975033  0.00222222222  1.45478e+00  8.05889e-02  0.58333
55377.22573567626  0.00416666667  1.32883e+00  4.29604e-02  1.00000
55380.19397641700  0.00759259259  4.57103e-01  1.99063e-02  1.00000
55383.46166160220  0.00657407407  1.96011e-01  1.66811e-02  1.00000
55414.24323567627  0.01851851852  2.15644e-01  1.01240e-02  1.00000
