# src_name=XTE_J1752-223
# time_[MJD]       half_width_[d]  count_rate    error       fracexp   
#
55131.45666160219  0.50009259259  2.55368e+02  1.24421e-01  0.19089
55132.41277271330  0.45601851852  2.63801e+02  1.00666e-01  0.33036
55133.73101345404  0.39722222222  2.66605e+02  2.00862e-01  0.09627
55134.97212456515  0.46740740741  2.70138e+02  2.04429e-01  0.08003
55136.15499493552  0.39861111111  2.66902e+02  1.89813e-01  0.10755
55137.32842086145  0.40500000000  2.71724e+02  1.74145e-01  0.12803
55138.72703197256  0.44009259259  2.78068e+02  2.28795e-01  0.06985
55140.09240234293  0.50009259259  2.78911e+02  1.93410e-01  0.08628
55141.09221715775  0.49972222222  2.73579e+02  1.60471e-01  0.12303
55142.68268012071  0.47425925926  2.73915e+02  1.80579e-01  0.10250
55143.89480975034  0.37824074074  2.67169e+02  2.11299e-01  0.09155
55145.06295789849  0.50009259259  2.66195e+02  1.82049e-01  0.09295
55146.02971715775  0.46666666667  2.66886e+02  2.19884e-01  0.06845
55147.48638382441  0.50000000000  2.71437e+02  2.46588e-01  0.05167
55148.66305049108  0.37277777777  2.72788e+02  1.78017e-01  0.13363
55149.90221715775  0.50009259259  2.70991e+02  1.46236e-01  0.14664
55150.90166160219  0.49935185185  2.71968e+02  1.48002e-01  0.14389
55152.81851345404  0.47324074074  2.74194e+02  1.81888e-01  0.10135
55154.65230975034  0.47629629630  2.84678e+02  1.96884e-01  0.08923
55215.93156900960  0.01851851852  6.33243e+02  4.50514e-01  0.97500
55217.43555049108  0.47620370370  6.82534e+02  3.99711e-01  0.05192
55218.49027271330  0.33703703704  7.42721e+02  8.58386e-01  0.01731
55219.80786530589  0.26203703704  7.05984e+02  1.13919e+00  0.01201
55221.03193937997  0.34537037037  6.44241e+02  4.12183e-01  0.06354
55222.11036530590  0.24101851852  5.26547e+02  4.33650e-01  0.06723
55224.30184678738  0.46324074074  5.08927e+02  3.53181e-01  0.05097
55225.78768012071  0.49425925926  5.05337e+02  7.19558e-01  0.01143
55227.70295789849  0.01916666667  4.39994e+02  3.64484e-01  1.00000
55228.69703197257  0.00657407407  4.07571e+02  5.98980e-01  1.00000
55229.79508752812  0.01796296296  3.91052e+02  3.54941e-01  1.00000
55231.63119863922  0.01648148148  4.26146e+02  3.87912e-01  0.99438
55232.99379123182  0.00629629630  3.94848e+02  9.06973e-01  0.44118
55235.03277271330  0.01675925926  3.81452e+02  4.04095e-01  0.80663
55236.70203197256  0.50009259259  3.54018e+02  3.39470e-01  0.03555
55237.59740234293  0.39527777778  3.46365e+02  4.51912e-01  0.02483
55238.89832826886  0.00564814815  3.01633e+02  5.55923e-01  1.00000
55240.39999493552  0.39361111111  3.33201e+02  3.23494e-01  0.04681
