# src_name=XTE_J1859+226
# time_[MJD]       half_width_[d]  count_rate    error       fracexp   
#
51462.77453197258  0.00592592593  9.00136e+01  3.57575e-01  0.68750
51464.23795789851  0.40416666666  8.75000e+01  3.07065e-01  0.01329
51465.41916160221  0.11314814815  8.62611e+01  3.02288e-01  0.04828
51468.02268012073  0.44129629630  1.09534e+02  1.28592e-01  0.08687
51469.50101345406  0.40703703704  1.02935e+02  7.36512e-02  0.26979
51471.24036530592  0.00138888889  8.24498e+01  1.13502e+00  0.26667
51472.50601345407  0.00259259259  7.76405e+01  5.68773e-01  0.53571
51474.17166160222  0.28120370370  8.94490e+01  1.37199e-01  0.09779
51475.19814308369  0.03416666667  7.43386e+01  9.63967e-01  0.01355
51477.60851345406  0.44898148148  8.43961e+01  1.73613e-01  0.03609
51479.30268012073  0.35259259259  6.49753e+01  2.28174e-01  0.02048
51480.86036530592  0.50009259259  6.27058e+01  2.79968e-01  0.00926
51481.86055049110  0.50009259259  5.55272e+01  7.40442e-02  0.11720
51482.77184678739  0.41120370370  6.03521e+01  1.48521e-01  0.03850
51484.51193937998  0.43185185185  5.94266e+01  6.42405e-01  0.00193
51485.54119863925  0.43722222222  2.18927e+01  9.02475e-02  0.03558
51486.94314308369  0.09972222222  1.70995e+01  7.48022e-02  0.17734
51488.67147641702  0.23509259259  1.39406e+01  7.91724e-02  0.05475
51490.96656900962  0.46962962963  6.19202e+00  5.90466e-02  0.02188
51492.45527271333  0.04574074074  6.50372e+00  5.84450e-02  0.24089
51493.84379123185  0.36592592593  5.37663e+00  3.33573e-02  0.07642
51496.05286530592  0.43870370370  6.31920e+00  4.95288e-02  0.03398
51497.26888382444  0.00824074074  1.30845e+01  1.11313e-01  0.74157
51498.37314308369  0.04416666667  8.90202e+00  6.51701e-02  0.27463
51501.83129123184  0.43824074074  4.27554e+00  2.32345e-02  0.10458
51503.25906900962  0.07990740741  4.86337e+00  2.78462e-02  0.45423
51504.79129123184  0.47398148148  3.24306e+00  3.07042e-02  0.04200
51506.25360604665  0.01018518518  2.26394e+00  3.58654e-02  1.00000
51508.25008752814  0.01037037037  1.06003e+00  2.43215e-02  1.00000
51509.80795789851  0.50009259259  1.83266e+00  3.02709e-02  0.02314
51510.78184678739  0.47379629630  1.51537e+00  2.05167e-02  0.04397
51512.24305049110  0.01111111111  3.97933e+00  4.55255e-02  1.00000
51513.77268012073  0.47944444445  3.35809e+00  2.56502e-02  0.06161
51515.63916160222  0.41611111111  4.33439e+00  2.99503e-02  0.06720
51517.59018012073  0.50009259259  5.18947e+00  5.48012e-02  0.02000
51518.10675419480  0.01648148148  2.81070e+00  3.14150e-02  1.00000
51520.09249493555  0.01092592593  2.68922e+00  3.77409e-02  1.00000
51521.52823567629  0.44574074074  3.90375e+00  2.72737e-02  0.06813
51523.44443937999  0.50009259259  4.67427e+00  4.30000e-02  0.02925
51524.44462456518  0.50009259259  8.83344e+00  5.91121e-02  0.02925
51525.16027271333  0.21555555555  8.98998e+00  4.96423e-02  0.09794
51527.37786530591  0.37277777778  1.15764e+01  5.80106e-02  0.05340
51530.14823567629  0.01425925926  9.09845e+00  6.07664e-02  1.00000
51533.35712456518  0.01037037037  4.39595e+00  4.95287e-02  1.00000
51537.14018012073  0.01194444444  7.31529e+00  5.95334e-02  1.00000
51540.79999493554  0.01879629630  2.67952e+00  2.87224e-02  1.00000
51546.05684678740  0.01787037037  4.72511e+00  4.16794e-02  0.88083
51547.78518012073  0.01824074074  7.98987e+00  5.03474e-02  1.00000
51554.83768012073  0.00814814815  2.91743e+00  4.99780e-02  0.82955
51556.96629123185  0.01768518518  2.50988e+00  2.86583e-02  1.00000
51560.16416160221  0.01592592593  3.07334e+00  3.34181e-02  1.00000
51563.95175419480  0.01814814814  3.28386e+00  3.23597e-02  1.00000
51566.14749493555  0.01851851852  2.37961e+00  2.72696e-02  1.00000
51570.27369863925  0.01972222222  1.02528e+00  1.74059e-02  0.99531
51573.79443937998  0.01379629629  3.63571e-01  1.38864e-02  1.00000
51576.99545789851  0.02018518519  3.21510e-01  1.11248e-02  1.00000
51583.00119863925  0.00333333333  3.23506e-01  3.48198e-02  0.50000
51587.63240234295  0.07638888889  3.87880e-01  1.10507e-02  0.28727
51593.96342086147  0.01685185185  3.26428e-01  1.40032e-02  0.79121
51597.95379123185  0.01722222222  3.07860e-01  1.19513e-02  1.00000
51600.87758752814  0.01805555556  1.24771e+00  1.99977e-02  1.00000
51603.80443937999  0.01342592592  6.17864e-01  1.66276e-02  1.00000
51613.64351345407  0.00990740741  1.36695e+00  2.82569e-02  1.00000
51619.89990234295  0.01944444445  3.40658e-01  1.09971e-02  1.00000
51623.25592086147  0.30305555556  7.45718e-01  1.44236e-02  0.06966
51626.61212456517  0.01055555556  4.30097e-01  1.67038e-02  1.00000
51749.16119863925  0.04222222222  2.50988e-02  1.03766e-02  0.37281
