# src_name=XTE_J1859+226
# time_[MJD]       half_width_[d]  count_rate    error       fracexp   
#
51462.77453197258  0.00592592593  5.76252e+02  9.04732e-01  0.68750
51464.23795789851  0.40416666666  8.91520e+02  9.80148e-01  0.01329
51465.41916160221  0.11314814815  1.07759e+03  1.06842e+00  0.04828
51468.02268012073  0.44129629630  2.11896e+03  5.65589e-01  0.08687
51469.50101345406  0.40703703704  2.04264e+03  3.28091e-01  0.26979
51471.24036530592  0.00138888889  1.04853e+03  4.04763e+00  0.26667
51472.50601345407  0.00259259259  1.13364e+03  2.17336e+00  0.53571
51474.17166160222  0.28120370370  1.62290e+03  5.84396e-01  0.09779
51475.19814308369  0.03416666667  1.21583e+03  3.89845e+00  0.01355
51477.60851345406  0.44898148148  1.54576e+03  7.43005e-01  0.03609
51479.30268012073  0.35259259259  1.41454e+03  1.06463e+00  0.02048
51480.86036530592  0.50009259259  1.41163e+03  1.32836e+00  0.00926
51481.86055049110  0.50009259259  1.30817e+03  3.59394e-01  0.11720
51482.77184678739  0.41120370370  1.30125e+03  6.89640e-01  0.03850
51484.51193937998  0.43185185185  1.19331e+03  2.87869e+00  0.00193
51485.54119863925  0.43722222222  8.72424e+02  5.69704e-01  0.03558
51486.94314308369  0.09972222222  8.07074e+02  5.13902e-01  0.17734
51488.67147641702  0.23509259259  7.38372e+02  5.76196e-01  0.05475
51490.96656900962  0.46962962963  5.85848e+02  5.74342e-01  0.02188
51492.45527271333  0.04574074074  5.67679e+02  5.46032e-01  0.24089
51493.84379123185  0.36592592593  5.26729e+02  3.30164e-01  0.07642
51496.05286530592  0.43870370370  4.84650e+02  4.33752e-01  0.03398
51497.26888382444  0.00824074074  5.27970e+02  7.07087e-01  0.74157
51498.37314308369  0.04416666667  4.61193e+02  4.69079e-01  0.27463
51501.83129123184  0.43824074074  3.80199e+02  2.19100e-01  0.10458
51503.25906900962  0.07990740741  3.62738e+02  2.40488e-01  0.45423
51504.79129123184  0.47398148148  3.29185e+02  3.09343e-01  0.04200
51506.25360604665  0.01018518518  3.09160e+02  4.19117e-01  1.00000
51508.25008752814  0.01037037037  2.73362e+02  3.90571e-01  1.00000
51509.80795789851  0.50009259259  2.65759e+02  3.64527e-01  0.02314
51510.78184678739  0.47379629630  2.50315e+02  2.63689e-01  0.04397
51512.24305049110  0.01111111111  2.59219e+02  3.67437e-01  1.00000
51513.77268012073  0.47944444445  2.41957e+02  2.17728e-01  0.06161
51515.63916160222  0.41611111111  2.33148e+02  2.19661e-01  0.06720
51517.59018012073  0.50009259259  2.30173e+02  3.64968e-01  0.02000
51518.10675419480  0.01648148148  1.99209e+02  2.64475e-01  1.00000
51520.09249493555  0.01092592593  1.85772e+02  3.13682e-01  1.00000
51521.52823567629  0.44574074074  1.84477e+02  1.87488e-01  0.06813
51523.44443937999  0.50009259259  1.81981e+02  2.68302e-01  0.02925
51524.44462456518  0.50009259259  2.14978e+02  2.91614e-01  0.02925
51525.16027271333  0.21555555555  2.13749e+02  2.42061e-01  0.09794
51527.37786530591  0.37277777778  2.23308e+02  2.54784e-01  0.05340
51530.14823567629  0.01425925926  2.30767e+02  3.06032e-01  1.00000
51533.35712456518  0.01037037037  2.05631e+02  3.38747e-01  1.00000
51537.14018012073  0.01194444444  2.36699e+02  3.38644e-01  1.00000
51540.79999493554  0.01879629630  1.70418e+02  2.29060e-01  1.00000
51546.05684678740  0.01787037037  1.63795e+02  2.45395e-01  0.88083
51547.78518012073  0.01824074074  1.74313e+02  2.35165e-01  1.00000
51554.83768012073  0.00814814815  9.73060e+01  2.88635e-01  0.82955
51556.96629123185  0.01768518518  8.79166e+01  1.69613e-01  1.00000
51560.16416160221  0.01592592593  8.35551e+01  1.74246e-01  1.00000
51563.95175419480  0.01814814814  7.54561e+01  1.55117e-01  1.00000
51566.14749493555  0.01851851852  6.03828e+01  1.37367e-01  1.00000
51570.27369863925  0.01972222222  4.08248e+01  1.09707e-01  0.99531
51573.79443937998  0.01379629629  3.20800e+01  1.16002e-01  1.00000
51576.99545789851  0.02018518519  2.74773e+01  8.87562e-02  1.00000
51583.00119863925  0.00333333333  2.06972e+01  2.68077e-01  0.50000
51587.63240234295  0.07638888889  1.80402e+01  6.89742e-02  0.28727
51593.96342086147  0.01685185185  1.42611e+01  7.86746e-02  0.79121
51597.95379123185  0.01722222222  1.18316e+01  6.30530e-02  1.00000
51600.87758752814  0.01805555556  1.73606e+01  7.45943e-02  1.00000
51603.80443937999  0.01342592592  1.00610e+01  6.58530e-02  1.00000
51613.64351345407  0.00990740741  8.63644e+00  7.10257e-02  1.00000
51619.89990234295  0.01944444445  1.92647e+00  2.39448e-02  1.00000
51623.25592086147  0.30305555556  6.39303e+00  4.18626e-02  0.06966
51626.61212456517  0.01055555556  4.05477e+00  4.71488e-02  1.00000
51749.16119863925  0.04222222222  3.58402e-01  1.37445e-02  0.37281
