# src_name=4U_1907+09
# time_[MJD]       half_width_[d]  count_rate    error       fracexp   
#
50131.07758752815  0.07379629630  1.10343e+01  4.15224e-02  0.50188
50133.05416160222  0.04925925926  1.17539e+01  4.60779e-02  0.65038
50135.01129123186  0.07490740741  7.80352e+00  3.27401e-02  0.56242
50136.38684678741  0.02768518518  1.20522e+01  7.55414e-02  0.44147
50412.42842086148  0.04666666667  7.46880e+00  4.04709e-02  0.56548
50436.41166160222  0.01009259259  1.65160e+01  9.73149e-02  1.00000
50437.41221715778  0.01009259259  1.06947e+01  7.83089e-02  1.00000
50438.41203197259  0.00953703704  7.15177e+00  6.61983e-02  0.99029
50439.41240234297  0.00972222222  2.81419e+00  4.11245e-02  0.99048
50440.74156900963  0.33833333333  1.25065e+01  5.60284e-02  0.06814
50442.56212456519  0.49962962963  2.42394e+01  5.77660e-02  0.08414
50443.56332826889  0.50009259259  1.86956e+01  7.60561e-02  0.03740
50444.07795789852  0.01453703704  9.74649e+00  6.22894e-02  1.00000
50477.77851345408  0.03824074074  1.52201e+01  6.74645e-02  0.50605
50505.39638382445  0.03981481481  3.79468e+00  3.10499e-02  0.57209
50526.75332826890  0.05009259259  2.11360e+01  6.60283e-02  0.56007
50567.78666160222  0.06898148148  5.15140e+01  1.08006e-01  0.37047
50594.66323567630  0.04074074074  5.37936e+00  3.79863e-02  0.52955
50617.45879123186  0.04796296296  2.52155e+01  7.20008e-02  0.58687
50646.62008752815  0.04222222222  3.96310e+01  9.87508e-02  0.55702
50684.63119863926  0.04870370370  4.33359e+01  1.02065e-01  0.49430
50714.51638382445  0.04259259259  2.92668e+01  8.43647e-02  0.55870
50739.33147641704  0.03842592593  1.84342e+01  6.98708e-02  0.56867
50769.18647641704  0.04138888889  3.41342e+01  8.92211e-02  0.59955
50796.08119863926  0.04037037037  1.62970e+01  6.11941e-02  0.62385
51020.41842086148  0.20592592593  3.09523e+01  6.94567e-02  0.18031
51023.16397641704  0.21092592593  2.72474e+01  4.03108e-02  0.46005
51074.53934678741  0.04796296296  9.23322e+00  4.40797e-02  0.57336
51079.03092086148  0.21527777778  4.09943e+01  4.73455e-02  0.49161
51082.89434678741  0.01222222222  5.77745e+00  6.00908e-02  0.75758
51087.56740234296  0.01916666667  1.69838e+01  7.16098e-02  1.00000
51916.71795789851  0.50009259259  2.32979e+01  3.37546e-02  0.23662
51917.52388382443  0.30583333333  1.01055e+01  2.45258e-02  0.31789
51918.58656900962  0.16981481481  1.06879e+01  3.13424e-02  0.37077
51978.88064308370  0.11277777778  1.09112e+01  3.39402e-02  0.48604
